Parent and Person SubClassOf Father,  False.
Female SubClassOf Female and GrandMother and GrandParent and Parent and Person and Son and Thing and (hasSex some (Female and GrandMother and GrandParent and Woman and Thing)),  Here are
Person SubClassOf Female and GrandMother and GrandParent and Parent and Person and Son and Thing and (hasSex some (Female and GrandMother and GrandParent and Woman and Thing)),  Here'
GrandParent SubClassOf Female and GrandMother and GrandParent and Parent and Person and Son and Thing and (hasSex some (Female and GrandMother and GrandParent and Woman and Thing)),  Here'
Woman SubClassOf Female and GrandMother and GrandParent and Parent and Person and Son and Thing and (hasSex some (Female and GrandMother and GrandParent and Woman and Thing)),  Here'
Thing SubClassOf Female and GrandMother and GrandParent and Woman and Thing,  False.
Child SubClassOf Female and GrandMother and GrandParent and Woman and Thing,  False,
GrandFather SubClassOf Female and GrandMother and GrandParent and Woman and Thing,  False.
Father and Female and GrandMother and GrandParent and Parent and Person and Son and Thing and (hasSex some (Female and GrandMother and GrandParent and Woman and Thing)) SubClassOf Father and Female and GrandMother and GrandParent and Parent and Person and Son and Thing and (hasSex some (Female and GrandMother and GrandParent and Woman and Thing)),  False.
Thing SubClassOf Father and Female and GrandMother and GrandParent and Parent and Person and Son and Thing and (hasSex some (Female and GrandMother and GrandParent and Woman and Thing)),  False.
Female SubClassOf Father and Female and GrandMother and GrandParent and Parent and Person and Son and Thing and (hasSex some (Female and GrandMother and GrandParent and Woman and Thing)),  Here are
Person SubClassOf Father and Female and GrandMother and GrandParent and Parent and Person and Son and Thing and (hasSex some (Female and GrandMother and GrandParent and Woman and Thing)),  Here is
GrandParent SubClassOf Father and Female and GrandMother and GrandParent and Parent and Person and Son and Thing and (hasSex some (Female and GrandMother and GrandParent and Woman and Thing)),  Here are
Woman SubClassOf Father and Female and GrandMother and GrandParent and Parent and Person and Son and Thing and (hasSex some (Female and GrandMother and GrandParent and Woman and Thing)),  False.
GrandMother SubClassOf Father and Female and GrandMother and GrandParent and Parent and Person and Son and Woman and Thing and (hasSex some (Female and GrandMother and GrandParent and Woman and Thing)),  False.
GrandMother SubClassOf Father and Female and GrandMother and GrandParent and Parent and Person and Son and Thing and (hasSex some (Female and GrandMother and GrandParent and Person and Woman and Thing)),  False.
GrandMother SubClassOf Father and Female and GrandMother and GrandParent and Parent and Person and Son and Thing and (hasSex some (Female and GrandMother and GrandParent and Parent and Woman and Thing)),  False.
Child and Father and Female and GrandMother and GrandParent and Parent and Person and Son and Thing and (hasSex some (Female and GrandMother and GrandParent and Woman and Thing)) SubClassOf Child and Father and Female and GrandMother and GrandParent and Parent and Person and Son and Thing and (hasSex some (Female and GrandMother and GrandParent and Woman and Thing)),  False.
Thing SubClassOf Child and Father and Female and GrandMother and GrandParent and Parent and Person and Son and Thing and (hasSex some (Female and GrandMother and GrandParent and Woman and Thing)),  Here is
Female SubClassOf Child and Father and Female and GrandMother and GrandParent and Parent and Person and Son and Thing and (hasSex some (Female and GrandMother and GrandParent and Woman and Thing)),  Here'
Person SubClassOf Child and Father and Female and GrandMother and GrandParent and Parent and Person and Son and Thing and (hasSex some (Female and GrandMother and GrandParent and Woman and Thing)),  * Person
GrandParent SubClassOf Child and Father and Female and GrandMother and GrandParent and Parent and Person and Son and Thing and (hasSex some (Female and GrandMother and GrandParent and Woman and Thing)),  Here are
Woman SubClassOf Child and Father and Female and GrandMother and GrandParent and Parent and Person and Son and Thing and (hasSex some (Female and GrandMother and GrandParent and Woman and Thing)),  Here is
Man SubClassOf hasChild some Female,  False.
Daughter and Parent SubClassOf Sister,  False.
Daughter SubClassOf hasParent some Father,  True.
GrandMother SubClassOf hasParent some Father,  True.
GrandMother and (hasParent some Father) SubClassOf GrandMother and (hasParent some Father),  True.
Child SubClassOf Father,  True.
Child SubClassOf GrandMother,  False.
Child SubClassOf Thing,  True.
Child SubClassOf Father and Thing,  True,
Child SubClassOf Son,  False.
Child SubClassOf Person,  True.
Child SubClassOf Father and Person and Thing,  True,
Child SubClassOf Brother,  False.
Child SubClassOf Daughter,  False.
Child SubClassOf Man,  True,
Child SubClassOf Father and Man and Person and Thing,  True:
Child SubClassOf Mother,  False.
Child SubClassOf GrandParent,  The answer
Child SubClassOf Sex,  False.
Child SubClassOf Sister,  False.
Child SubClassOf OffSpring,  False.
Child SubClassOf Woman,  False.
Child SubClassOf Male,  False.
Child SubClassOf Sibling,  False.
Child SubClassOf GrandFather,  False.
Daughter and Sibling SubClassOf Sister,  True.
Father SubClassOf hasChild some Father,  False.
Woman SubClassOf hasParent some GrandParent,  True.
GrandMother SubClassOf hasParent some GrandParent,  True.
GrandMother and (hasParent some GrandParent) SubClassOf GrandMother and (hasParent some GrandParent),  True.
GrandFather SubClassOf GrandParent,  True.
GrandFather SubClassOf GrandMother,  False.
GrandFather SubClassOf Thing,  True.
GrandFather SubClassOf GrandParent and Thing,  True.
GrandFather SubClassOf Son,  False.
GrandFather SubClassOf Child,  False.
GrandFather SubClassOf Person,  True.
GrandFather SubClassOf GrandParent and Person and Thing,  False.
GrandFather SubClassOf Brother,  False.
GrandFather SubClassOf Parent,  True.
GrandFather SubClassOf GrandParent and Parent and Thing,  False.
GrandFather SubClassOf Man,  True.
GrandFather SubClassOf GrandParent and Man and Thing,  False.
GrandFather SubClassOf Mother,  False.
GrandFather SubClassOf Sex,  False.
GrandFather SubClassOf Sister,  False.
GrandFather SubClassOf Woman,  False.
GrandFather SubClassOf Male,  True.
GrandFather SubClassOf GrandParent and Male and Thing,  True.
GrandFather SubClassOf Sibling,  False.
GrandFather SubClassOf GrandParent and Male and Person and Thing,  True,
GrandFather SubClassOf GrandParent and Male and Parent and Person and Thing,  The answer
GrandFather SubClassOf GrandParent and Male and Man and Person and Thing,  The answer
Male SubClassOf hasSibling some GrandParent,  False.
Female and Sex SubClassOf Sister,  False.
GrandFather SubClassOf hasChild some GrandParent,  False.
Male SubClassOf hasParent some Daughter,  False.
Child SubClassOf hasChild some Sister,  False.
GrandMother and Parent SubClassOf Sister,  False.
hasParent some Son SubClassOf Sibling,  False.
Female SubClassOf hasChild some Child,  True.
GrandMother SubClassOf hasChild some Child,  True.
GrandMother and (hasChild some Child) SubClassOf GrandMother and (hasChild some Child),  True.
GrandMother SubClassOf GrandMother and Thing and (hasChild some Child),  True.
GrandMother SubClassOf Female and GrandMother and Thing and (hasChild some Child),  True\n
GrandMother SubClassOf Female and GrandMother and Person and Thing and (hasChild some Child),  True,
GrandMother SubClassOf Female and GrandMother and Parent and Person and Thing and (hasChild some Child),  True.
GrandMother SubClassOf Female and GrandMother and GrandParent and Parent and Person and Thing and (hasChild some Child),  Here are
GrandMother SubClassOf Female and GrandMother and Parent and Person and Woman and Thing and (hasChild some Child),  The answer
GrandMother SubClassOf Female and GrandMother and Parent and Person and Thing and (hasChild some (Child and GrandMother)),  The answer
GrandMother SubClassOf Female and GrandMother and Parent and Person and Thing and (hasChild some (Child and Thing)),  The answer
GrandMother SubClassOf Female and GrandMother and Parent and Person and Thing and (hasChild some (Child and Female)),  True\n
GrandMother SubClassOf Female and GrandMother and Parent and Person and Thing and (hasChild some (Child and Female and Person)),  True.
GrandMother SubClassOf Female and GrandMother and Parent and Person and Thing and (hasChild some (Child and Female and Parent and Person)),  True\n
GrandMother SubClassOf Female and GrandMother and Parent and Person and Thing and (hasChild some (Child and Female and GrandParent and Parent and Person)),  True\n
GrandMother SubClassOf Female and GrandMother and Parent and Person and Thing and (hasChild some (Child and Female and GrandParent and Parent and Person and Woman)),  True\n
Female and GrandMother and Parent and Person and Son and Thing and (hasChild some (Child and Female and GrandParent and Parent and Person and Woman)) SubClassOf Female and GrandMother and Parent and Person and Son and Thing and (hasChild some (Child and Female and GrandParent and Parent and Person and Woman)),  False.
Thing SubClassOf Female and GrandMother and Parent and Person and Son and Thing and (hasChild some (Child and Female and GrandParent and Parent and Person and Woman)),  False.
Female SubClassOf Female and GrandMother and Parent and Person and Son and Thing and (hasChild some (Child and Female and GrandParent and Parent and Person and Woman)),  Here are
Person SubClassOf Female and GrandMother and Parent and Person and Son and Thing and (hasChild some (Child and Female and GrandParent and Parent and Person and Woman)),  Here'
GrandParent SubClassOf Female and GrandMother and Parent and Person and Son and Thing and (hasChild some (Child and Female and GrandParent and Parent and Person and Woman)),  Here'
Woman SubClassOf Female and GrandMother and Parent and Person and Son and Thing and (hasChild some (Child and Female and GrandParent and Parent and Person and Woman)),  Here are
Thing SubClassOf Child and Female and GrandParent and Parent and Person and Woman,  False.
Brother and Child and Father and Female and GrandMother and GrandParent and Parent and Person and Son and Thing and (hasChild some (Child and Female and GrandParent and Parent and Person and Woman)) SubClassOf Brother and Child and Father and Female and GrandMother and GrandParent and Parent and Person and Son and Thing and (hasChild some (Child and Female and GrandParent and Parent and Person and Woman)) and (hasSex some (Female and GrandMother and GrandParent and Woman and Thing)),  Here are
Thing SubClassOf Brother and Child and Father and Female and GrandMother and GrandParent and Parent and Person and Son and Thing and (hasChild some (Child and Female and GrandParent and Parent and Person and Woman)),  False.
Female SubClassOf Brother and Child and Father and Female and GrandMother and GrandParent and Parent and Person and Son and Thing and (hasChild some (Child and Female and GrandParent and Parent and Person and Woman)),  False.
Person SubClassOf Brother and Child and Father and Female and GrandMother and GrandParent and Parent and Person and Son and Thing and (hasChild some (Child and Female and GrandParent and Parent and Person and Woman)),  False.
GrandParent SubClassOf Brother and Child and Father and Female and GrandMother and GrandParent and Parent and Person and Son and Thing and (hasChild some (Child and Female and GrandParent and Parent and Person and Woman)),  Here'
Woman SubClassOf Brother and Child and Father and Female and GrandMother and GrandParent and Parent and Person and Son and Thing and (hasChild some (Child and Female and GrandParent and Parent and Person and Woman)),  False.
GrandMother SubClassOf Brother and Child and Father and Female and GrandMother and GrandParent and Parent and Person and Son and Woman and Thing and (hasChild some (Child and Female and GrandParent and Parent and Person and Woman)) and (hasSex some (Female and GrandMother and GrandParent and Woman and Thing)),  False.
GrandMother SubClassOf Brother and Child and Father and Female and GrandMother and GrandParent and Parent and Person and Son and Thing and (hasChild some (Child and Female and GrandParent and Parent and Person and Woman)) and (hasSex some (Female and GrandMother and GrandParent and Person and Woman and Thing)),  False.
GrandMother SubClassOf Brother and Child and Father and Female and GrandMother and GrandParent and Parent and Person and Son and Thing and (hasChild some (Child and Female and GrandParent and Parent and Person and Woman)) and (hasSex some (Female and GrandMother and GrandParent and Parent and Woman and Thing)),  False.
GrandMother SubClassOf Brother and Child and Father and Female and GrandMother and GrandParent and Parent and Person and Son and Thing and (hasChild some (Child and Female and GrandMother and GrandParent and Parent and Person and Woman)) and (hasSex some (Female and GrandMother and GrandParent and Woman and Thing)),  False.
GrandMother SubClassOf Brother and Child and Father and Female and GrandMother and GrandParent and Parent and Person and Son and Thing and (hasChild some (Child and Female and GrandParent and Parent and Person and Woman and Thing)) and (hasSex some (Female and GrandMother and GrandParent and Woman and Thing)),  False.
Brother and Child and Father and Female and GrandMother and GrandParent and Man and Parent and Person and Son and Thing and (hasChild some (Child and Female and GrandParent and Parent and Person and Woman)) SubClassOf Brother and Child and Father and Female and GrandMother and GrandParent and Man and Parent and Person and Son and Thing and (hasChild some (Child and Female and GrandParent and Parent and Person and Woman)) and (hasSex some (Female and GrandMother and GrandParent and Woman and Thing)),  Here are
Thing SubClassOf Brother and Child and Father and Female and GrandMother and GrandParent and Man and Parent and Person and Son and Thing and (hasChild some (Child and Female and GrandParent and Parent and Person and Woman)),  False.
Female SubClassOf Brother and Child and Father and Female and GrandMother and GrandParent and Man and Parent and Person and Son and Thing and (hasChild some (Child and Female and GrandParent and Parent and Person and Woman)),  False.
Person SubClassOf Brother and Child and Father and Female and GrandMother and GrandParent and Man and Parent and Person and Son and Thing and (hasChild some (Child and Female and GrandParent and Parent and Person and Woman)),  False.
GrandParent SubClassOf Brother and Child and Father and Female and GrandMother and GrandParent and Man and Parent and Person and Son and Thing and (hasChild some (Child and Female and GrandParent and Parent and Person and Woman)),  Here'
Woman SubClassOf Brother and Child and Father and Female and GrandMother and GrandParent and Man and Parent and Person and Son and Thing and (hasChild some (Child and Female and GrandParent and Parent and Person and Woman)),  False.
Man and Parent SubClassOf Sister,  False.
Sibling SubClassOf hasParent some Mother,  False.
Female SubClassOf hasParent some Person,  True.
GrandMother SubClassOf hasParent some Person,  True.
GrandMother and (hasParent some Person) SubClassOf GrandMother and (hasParent some Person),  True.
GrandMother SubClassOf GrandMother and Thing and (hasParent some Person),  True.
GrandMother SubClassOf Female and GrandMother and Thing and (hasParent some Person),  True.
GrandMother SubClassOf Female and GrandMother and Person and Thing and (hasParent some Person),  True,
GrandMother SubClassOf Female and GrandMother and Parent and Person and Thing and (hasParent some Person),  True,
GrandMother SubClassOf Female and GrandMother and GrandParent and Parent and Person and Thing and (hasParent some Person),  The answer
GrandMother SubClassOf Female and GrandMother and Parent and Person and Woman and Thing and (hasParent some Person),  True.
GrandMother SubClassOf Female and GrandMother and Parent and Person and Woman and Thing and (hasParent some (GrandMother and Person)),  Here is
GrandMother SubClassOf Female and GrandMother and Parent and Person and Woman and Thing and (hasParent some (Person and Thing)),  The answer
GrandMother SubClassOf Female and GrandMother and Parent and Person and Woman and Thing and (hasParent some (Female and Person)),  True.
GrandMother SubClassOf Female and GrandMother and Parent and Person and Woman and Thing and (hasParent some (Female and Parent and Person)),  True.
GrandMother SubClassOf Female and GrandMother and Parent and Person and Woman and Thing and (hasParent some (Female and GrandParent and Parent and Person)),  The statement
GrandMother SubClassOf Female and GrandMother and Parent and Person and Woman and Thing and (hasParent some (Female and Parent and Person and Woman)),  The answer
Female and GrandMother and Parent and Person and Son and Woman and Thing and (hasParent some (Female and Parent and Person)) SubClassOf Female and GrandMother and Parent and Person and Son and Woman and Thing and (hasParent some (Female and Parent and Person)),  False.
Thing SubClassOf Female and GrandMother and Parent and Person and Son and Woman and Thing and (hasParent some (Female and Parent and Person)),  False.
Female SubClassOf Female and GrandMother and Parent and Person and Son and Woman and Thing and (hasParent some (Female and Parent and Person)),  Here are
Person SubClassOf Female and GrandMother and Parent and Person and Son and Woman and Thing and (hasParent some (Female and Parent and Person)),  Here is
GrandParent SubClassOf Female and GrandMother and Parent and Person and Son and Woman and Thing and (hasParent some (Female and Parent and Person)),  False.
Woman SubClassOf Female and GrandMother and Parent and Person and Son and Woman and Thing and (hasParent some (Female and Parent and Person)),  Here are
Thing SubClassOf Female and Parent and Person,  False.
Brother and Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Parent and Person and Son and Woman and Thing and (hasChild some (Child and Female and GrandParent and Parent and Person and Woman)) SubClassOf Brother and Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Parent and Person and Son and Woman and Thing and (hasChild some (Child and Female and GrandParent and Parent and Person and Woman)) and (hasParent some (Female and Parent and Person)) and (hasSex some (Female and GrandMother and GrandParent and Woman and Thing)),  Here are
Thing SubClassOf Brother and Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Parent and Person and Son and Woman and Thing and (hasChild some (Child and Female and GrandParent and Parent and Person and Woman)),  False.
GrandMother SubClassOf Brother and Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Parent and Person and Son and Woman and Thing and (hasChild some (Child and Female and GrandParent and Parent and Person and Woman)) and (hasParent some (Female and GrandMother and Parent and Person)) and (hasSex some (Female and GrandMother and GrandParent and Woman and Thing)),  False.
GrandMother SubClassOf Brother and Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Parent and Person and Son and Woman and Thing and (hasChild some (Child and Female and GrandParent and Parent and Person and Woman)) and (hasParent some (Female and Parent and Person and Thing)) and (hasSex some (Female and GrandMother and GrandParent and Woman and Thing)),  False.
GrandMother SubClassOf Brother and Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Parent and Person and Son and Woman and Thing and (hasChild some (Child and Female and GrandParent and Parent and Person and Woman)) and (hasParent some (Female and GrandParent and Parent and Person)) and (hasSex some (Female and GrandMother and GrandParent and Woman and Thing)),  False.
GrandMother SubClassOf Brother and Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Parent and Person and Son and Woman and Thing and (hasChild some (Child and Female and GrandParent and Parent and Person and Woman)) and (hasParent some (Female and Parent and Person and Woman)) and (hasSex some (Female and GrandMother and GrandParent and Woman and Thing)),  False.
GrandMother SubClassOf Brother and Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Parent and Person and Son and Woman and Thing and (hasChild some (Child and Female and GrandMother and GrandParent and Parent and Person and Woman)) and (hasParent some (Female and Parent and Person)) and (hasSex some (Female and GrandMother and GrandParent and Woman and Thing)),  False.
GrandMother SubClassOf Brother and Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Parent and Person and Son and Woman and Thing and (hasChild some (Child and Female and GrandParent and Parent and Person and Woman and Thing)) and (hasParent some (Female and Parent and Person)) and (hasSex some (Female and GrandMother and GrandParent and Woman and Thing)),  False.
GrandMother SubClassOf Brother and Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Parent and Person and Son and Woman and Thing and (hasChild some (Child and Female and GrandParent and Parent and Person and Woman)) and (hasParent some (Female and Parent and Person)) and (hasSex some (Female and GrandMother and GrandParent and Person and Woman and Thing)),  False.
GrandMother SubClassOf Brother and Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Parent and Person and Son and Woman and Thing and (hasChild some (Child and Female and GrandParent and Parent and Person and Woman)) and (hasParent some (Female and Parent and Person)) and (hasSex some (Female and GrandMother and GrandParent and Parent and Woman and Thing)),  False.
Brother and Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Mother and Parent and Person and Son and Woman and Thing and (hasChild some (Child and Female and GrandParent and Parent and Person and Woman)) SubClassOf Brother and Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Mother and Parent and Person and Son and Woman and Thing and (hasChild some (Child and Female and GrandParent and Parent and Person and Woman)) and (hasParent some (Female and Parent and Person)) and (hasSex some (Female and GrandMother and GrandParent and Woman and Thing)),  True.
Daughter and Father SubClassOf Sister,  False.
GrandFather and Sex SubClassOf Sister,  False.
Brother SubClassOf hasSibling some GrandParent,  False.
GrandMother and Man SubClassOf Sibling,  False.
Father and Person SubClassOf Sibling,  False.
Brother and Mother SubClassOf Sister,  False.
OffSpring SubClassOf hasParent some Sister,  False.
Female and Mother SubClassOf Sister,  False.
hasSibling some Female SubClassOf Sister,  True.
Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing and (hasSibling some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing)),  False.
Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing SubClassOf Sister,  False.
Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing SubClassOf Sibling,  Here are
Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing and (hasSibling some Brother) and (hasSibling some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing)) SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing and (hasSibling some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing)),  False\n
Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing and (hasSibling some Brother) and (hasSibling some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing)) SubClassOf Sister,  False\n
Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing and (hasSibling some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing)) SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing and (hasSibling some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing)),  Here are
Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing and (hasSibling some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing)) SubClassOf Sister,  True\n
Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing and (hasSibling some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing)) SubClassOf Sister,  True
Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing and (hasSibling some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing)) SubClassOf Sister,  Here are
Child and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing and (hasSibling some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing)) SubClassOf Sister,  Here are
Child and Daughter and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing and (hasSibling some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing)) SubClassOf Sister,  True.
Child and Daughter and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing and (hasSibling some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing)) SubClassOf Sister,  True.
Child and Daughter and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing and (hasSibling some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing)) SubClassOf Sister,  Here are
Child and Daughter and GrandFather and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing and (hasSibling some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing)) SubClassOf Sister,  Here are
Child and Daughter and GrandFather and GrandMother and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing and (hasSibling some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing)) SubClassOf Sister,  Here are
Child and Daughter and GrandFather and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing and (hasSibling some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing)) SubClassOf Sister,  Here are
Child and Daughter and GrandFather and GrandMother and GrandParent and Male and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing and (hasSibling some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing)) SubClassOf Sister,  Here are
Child and Daughter and GrandFather and GrandMother and GrandParent and Male and Man and OffSpring and Parent and Person and Sex and Son and Woman and Thing and (hasSibling some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing)) SubClassOf Sister,  True.
Child and Daughter and GrandFather and GrandMother and GrandParent and Male and Man and Parent and Person and Sex and Son and Woman and Thing and (hasSibling some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing)) SubClassOf Sister,  True.
Child and Daughter and GrandFather and GrandMother and GrandParent and Male and Man and Person and Sex and Son and Woman and Thing and (hasSibling some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing)) SubClassOf Sister,  Here are
Child and Daughter and GrandFather and GrandMother and GrandParent and Male and Man and Parent and Sex and Son and Woman and Thing and (hasSibling some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing)) SubClassOf Sister,  False\n
Child and Daughter and GrandFather and GrandMother and GrandParent and Male and Man and Parent and Person and Son and Woman and Thing and (hasSibling some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing)) SubClassOf Sister,  True\n
Child and Daughter and GrandFather and GrandMother and GrandParent and Male and Man and Parent and Person and Woman and Thing and (hasSibling some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing)) SubClassOf Sister,  True.
Child and Daughter and GrandFather and GrandMother and GrandParent and Male and Man and Parent and Person and Thing and (hasSibling some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing)) SubClassOf Sister,  Here'
Child and Daughter and GrandFather and GrandMother and GrandParent and Male and Man and Parent and Person and Woman and Thing and (hasSibling some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing)) SubClassOf Sister,  True\n
Child and Daughter and GrandFather and GrandMother and GrandParent and Male and Man and Parent and Person and Woman and Thing and (hasSibling some (Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing)) SubClassOf Sister,  True.
Child and Daughter and GrandFather and GrandMother and GrandParent and Male and Man and Parent and Person and Woman and Thing and (hasSibling some (Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing)) SubClassOf Sister,  Here are
Child and Daughter and GrandFather and GrandMother and GrandParent and Male and Man and Parent and Person and Woman and Thing and (hasSibling some (Daughter and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing)) SubClassOf Sister,  Here are
Child and Daughter and GrandFather and GrandMother and GrandParent and Male and Man and Parent and Person and Woman and Thing and (hasSibling some (Daughter and Father and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing)) SubClassOf Sister,  Here are
