Parent and Person SubClassOf Father, \nTrue
Can something that hasParent some GrandMother be considered a subcategory of 'Male'?, \nFalse
Can GrandMother that is also GrandParent be considered a subcategory of 'OffSpring'?, \nFalse
Can Son be considered a subcategory of 'something that hasSex some Parent'?, \nFalse
Can Parent be considered a subcategory of 'something that hasChild some Male'?, \nFalse
Can Female that is also GrandMother be considered a subcategory of 'Daughter'?, \nFalse
Can GrandFather be considered a subcategory of 'Daughter'?, \nFalse
Can Father that is also Mother be considered a subcategory of 'Male'?, \nFalse
Can Daughter that is also OffSpring be considered a subcategory of 'Father'?, \nFalse
Can Male that is also Mother be considered a subcategory of 'Sister'?, \nFalse
Can something that hasSex some OffSpring be considered a subcategory of 'GrandMother'?, \nFalse
Can Man that is also Woman be considered a subcategory of 'Sister'?, \nFalse
Can Male be considered a subcategory of 'something that hasSibling some Mother'?, \nFalse
Can something that hasParent some Sister be considered a subcategory of 'Sex'?, \nFalse
Can Son be considered a subcategory of 'something that hasParent some Brother'?, \nFalse
Can GrandFather that is also OffSpring be considered a subcategory of 'Son'?, \nFalse
Can Sibling that is also Son be considered a subcategory of 'Woman'?, \nFalse
Can something that hasSibling some Female be considered a subcategory of 'Sex'?, \nFalse
Can Father that is also Mother be considered a subcategory of 'Son'?, \nFalse
Can GrandFather that is also Woman be considered a subcategory of 'Brother'?, \nFalse
Can Child that is also Person be considered a subcategory of 'Male'?, \nFalse
Can Female that is also GrandMother be considered a subcategory of 'OffSpring'?, \nFalse
Can Father that is also Mother be considered a subcategory of 'OffSpring'?, \nFalse
Can Parent that is also Sister be considered a subcategory of 'Child'?, \nFalse
Can Man be considered a subcategory of 'Son'?, \nFalse
Can something that hasSex some Woman be considered a subcategory of 'Male'?, \nFalse
Can something that hasChild some Child be considered a subcategory of 'Child'?, \nFalse
Can something that hasParent some OffSpring be considered a subcategory of 'Person'?, \nFalse
Can something that hasSibling some Son be considered a subcategory of 'Person'?, \nFalse
Can Man that is also Son be considered a subcategory of 'Daughter'?, \nFalse
Can Male that is also Mother be considered a subcategory of 'Sibling'?, \nFalse
Can GrandFather that is also Sibling be considered a subcategory of 'Sex'?, \nFalse
Can Father that is also Male be considered a subcategory of 'Mother'?, \nFalse
Can Father that is also GrandFather be considered a subcategory of 'Mother'?, \nFalse
Can Child that is also Parent be considered a subcategory of 'Woman'?, \nFalse
Can Brother that is also Person be considered a subcategory of 'Daughter'?, \nFalse
Can Brother that is also Woman be considered a subcategory of 'Female'?, \nFalse
Can Child that is also Woman be considered a subcategory of 'Daughter'?, \nTrue
Can Child that is also Woman be considered a subcategory of 'GrandMother'?, \nFalse
Can Child that is also Woman be considered a subcategory of 'Son'?, \nFalse
Can Child that is also Woman be considered a subcategory of 'Female'?, \nFalse
Can Child that is also Woman be considered a subcategory of 'Father'?, \nFalse
Can Child that is also Woman be considered a subcategory of 'Person'?, \nTrue
Can Woman be considered a subcategory of 'Person'?, \nFalse
Can Child be considered a subcategory of 'Person'?, \nFalse
Can Female that is also Man be considered a subcategory of 'Mother'?, \nFalse
Can Mother that is also Person be considered a subcategory of 'Sex'?, \nFalse
Can something that hasChild some GrandParent be considered a subcategory of 'Brother'?, \nFalse
Can Sibling that is also Sister be considered a subcategory of 'Brother'?, \nFalse
Can Female that is also Person be considered a subcategory of 'Woman'?, \nTrue
Can Female that is also Person be considered a subcategory of 'GrandMother'?, \nFalse
Can Female that is also Person be considered a subcategory of 'Son'?, \nFalse
Can Female that is also Person be considered a subcategory of 'Father'?, \nFalse
Can Female that is also Person be considered a subcategory of 'Child'?, \nFalse
Can Female that is also Person be considered a subcategory of 'Brother'?, \nFalse
Can Female that is also Person be considered a subcategory of 'Parent'?, \nFalse
Can Female that is also Person be considered a subcategory of 'Daughter'?, \nFalse
Can Female that is also Person be considered a subcategory of 'Man'?, \nFalse
Can Female that is also Person be considered a subcategory of 'Mother'?, \nFalse
Can Female that is also Person be considered a subcategory of 'GrandParent'?, \nFalse
Can Female that is also Person be considered a subcategory of 'Sex'?, \nFalse
Can Female that is also Person be considered a subcategory of 'Sister'?, \nFalse
Can Female that is also Person be considered a subcategory of 'OffSpring'?, \nFalse
Can Female be considered a subcategory of 'Woman'?, \nFalse
Can Person be considered a subcategory of 'Woman'?, \nFalse
Can GrandParent that is also Person be considered a subcategory of 'GrandFather'?, \nFalse
Can something that hasSibling some Son be considered a subcategory of 'GrandMother'?, \nFalse
Can GrandParent be considered a subcategory of 'Woman'?, \nFalse
Can Male that is also OffSpring be considered a subcategory of 'Father'?, \nFalse
Can Child be considered a subcategory of 'something that hasSex some Sister'?, \nFalse
Can Female that is also Sibling be considered a subcategory of 'Man'?, \nFalse
Can Female that is also Mother be considered a subcategory of 'Father'?, \nFalse
Can Daughter that is also GrandMother be considered a subcategory of 'GrandParent'?, \nTrue
Can Daughter that is also GrandMother be considered a subcategory of 'Son'?, \nFalse
Can Daughter that is also GrandMother be considered a subcategory of 'Female'?, \nFalse
Can Daughter that is also GrandMother be considered a subcategory of 'Father'?, \nFalse
Can Daughter that is also GrandMother be considered a subcategory of 'Child'?, \nFalse
Can Daughter that is also GrandMother be considered a subcategory of 'Person'?, \nFalse
Can Daughter that is also GrandMother be considered a subcategory of 'Brother'?, \nFalse
Can Daughter that is also GrandMother be considered a subcategory of 'Parent'?, \nFalse
Can Daughter that is also GrandMother be considered a subcategory of 'Man'?, \nFalse
Can Daughter that is also GrandMother be considered a subcategory of 'Mother'?, \nFalse
Can GrandMother be considered a subcategory of 'GrandParent'?, \nFalse
Can Daughter be considered a subcategory of 'GrandParent'?, \nFalse
Can Man that is also Sex be considered a subcategory of 'GrandParent'?, \nFalse
Can Parent be considered a subcategory of 'something that hasChild some Sister'?, \nFalse
Can something that hasChild some Person be considered a subcategory of 'Person'?, \nTrue
Can something that hasChild some Person be considered a subcategory of 'GrandMother'?, \nFalse
Can something that hasChild some Person be considered a subcategory of 'Son'?, \nFalse
Can something that hasChild some Person be considered a subcategory of 'Female'?, \nFalse
Can something that hasChild some Person be considered a subcategory of 'Father'?, \nFalse
Can something that hasChild some Person be considered a subcategory of 'Child'?, \nTrue
Can Person be considered a subcategory of 'Child'?, \nFalse
Can Thing be considered a subcategory of 'something that hasChild some Person'?, \nTrue
Can Person be considered a subcategory of 'GrandMother'?, \nFalse
Can Person be considered a subcategory of 'Son'?, \nFalse
Can Person be considered a subcategory of 'Female'?, \nFalse
Can Person be considered a subcategory of 'Father'?, \nFalse
Can Person be considered a subcategory of 'Brother'?, \nFalse
Can Person be considered a subcategory of 'Parent'?, \nFalse
Can Person be considered a subcategory of 'Daughter'?, \nFalse
Can Person be considered a subcategory of 'Man'?, \nFalse
Can Person be considered a subcategory of 'Mother'?, \nFalse
Can Person be considered a subcategory of 'GrandParent'?, \nFalse
Can Person be considered a subcategory of 'Sex'?, \nFalse
Can Person be considered a subcategory of 'Sister'?, \nFalse
Can Person be considered a subcategory of 'OffSpring'?, \nFalse
Can Person be considered a subcategory of 'Male'?, \nFalse
Can Person be considered a subcategory of 'Sibling'?, \nFalse
Can Person be considered a subcategory of 'GrandFather'?, \nFalse
Can something that hasChild some Thing be considered a subcategory of 'Child'?, \nFalse
Can Sex be considered a subcategory of 'something that hasSibling some Man'?, \nFalse
Can OffSpring that is also Sister be considered a subcategory of 'Daughter'?, \nFalse
Can Brother that is also GrandParent be considered a subcategory of 'GrandFather'?, \nFalse
Can Daughter be considered a subcategory of 'something that hasParent some GrandFather'?, \nFalse
Can Child that is also Person be considered a subcategory of 'GrandMother'?, \nFalse
Can GrandFather be considered a subcategory of 'something that hasSibling some Woman'?, \nFalse
Can Person that is also Sister be considered a subcategory of 'Parent'?, \nFalse
Can Daughter that is also GrandFather be considered a subcategory of 'Male'?, \nFalse
Can GrandFather that is also Man be considered a subcategory of 'Daughter'?, \nFalse
Can Male that is also Sister be considered a subcategory of 'Child'?, \nFalse
Can OffSpring that is also Sibling be considered a subcategory of 'Man'?, \nFalse
Can Man be considered a subcategory of 'something that hasSibling some Sister'?, \nFalse
Can GrandParent that is also Sister be considered a subcategory of 'GrandMother'?, \nFalse
Can something that hasChild some Brother be considered a subcategory of 'Father'?, \nFalse
Can GrandMother that is also Woman be considered a subcategory of 'Sister'?, \nFalse
Can OffSpring be considered a subcategory of 'GrandFather'?, \nFalse
Can Son be considered a subcategory of 'GrandFather'?, \nFalse
Can Daughter that is also Man be considered a subcategory of 'GrandMother'?, \nFalse
Can GrandFather that is also GrandParent be considered a subcategory of 'Daughter'?, \nFalse
Can GrandMother that is also OffSpring be considered a subcategory of 'Son'?, \nFalse
Can Child that is also Daughter be considered a subcategory of 'Woman'?, \nFalse
Can Daughter be considered a subcategory of 'something that hasSex some Child'?, \nFalse
Can Mother be considered a subcategory of 'something that hasChild some Son'?, \nFalse
Can GrandMother that is also Woman be considered a subcategory of 'Parent'?, \nTrue
Can GrandMother that is also Woman be considered a subcategory of 'Son'?, \nFalse
Can GrandMother that is also Woman be considered a subcategory of 'Female'?, \nTrue
Can GrandMother be considered a subcategory of 'Female'?, \nTrue
Can GrandMother be considered a subcategory of 'Thing'?, \nFalse
Can GrandMother be considered a subcategory of 'Son'?, \nFalse
Can GrandMother be considered a subcategory of 'Father'?, \nFalse
Can GrandMother be considered a subcategory of 'Child'?, \nFalse
Can GrandMother be considered a subcategory of 'Person'?, \nFalse
Can GrandMother be considered a subcategory of 'Brother'?, \nFalse
Can GrandMother be considered a subcategory of 'Parent'?, \nFalse
Can GrandMother be considered a subcategory of 'Daughter'?, \nFalse
Can GrandMother be considered a subcategory of 'Man'?, \nFalse
Can GrandMother be considered a subcategory of 'Mother'?, \nFalse
Can GrandMother be considered a subcategory of 'Sex'?, \nFalse
Can GrandMother be considered a subcategory of 'Sister'?, \nFalse
Can GrandMother be considered a subcategory of 'OffSpring'?, \nFalse
Can GrandMother be considered a subcategory of 'Woman'?, \nTrue
Can GrandMother be considered a subcategory of 'Female that is also Woman'?, \nTrue
Can GrandMother be considered a subcategory of 'Male'?, \nFalse
Can GrandMother be considered a subcategory of 'Sibling'?, \nFalse
Can GrandMother be considered a subcategory of 'GrandFather'?, \nFalse
Can Father be considered a subcategory of 'something that hasSibling some Parent'?, \nTrue
Can Father be considered a subcategory of 'GrandMother'?, \nFalse
Can Father be considered a subcategory of 'Son'?, \nFalse
Can Father be considered a subcategory of 'Female'?, \nFalse
Can Father be considered a subcategory of 'Child'?, \nFalse
Can Father be considered a subcategory of 'Person'?, \nFalse
Can Father be considered a subcategory of 'Brother'?, \nFalse
Can Father be considered a subcategory of 'Parent'?, \nTrue
Can Father be considered a subcategory of 'Thing'?, \nFalse
Can Father be considered a subcategory of 'Daughter'?, \nFalse
Can Father be considered a subcategory of 'Man'?, \nFalse
Can Father be considered a subcategory of 'Mother'?, \nFalse
Can Father be considered a subcategory of 'GrandParent'?, \nFalse
Can Father be considered a subcategory of 'Sex'?, \nFalse
Can Father be considered a subcategory of 'Sister'?, \nFalse
Can Father be considered a subcategory of 'OffSpring'?, \nFalse
Can Father be considered a subcategory of 'Woman'?, \nFalse
Can Father be considered a subcategory of 'Male'?, \nTrue
Can Father be considered a subcategory of 'Male that is also Parent'?, \nFalse
Can Father be considered a subcategory of 'Sibling'?, \nFalse
Can Father be considered a subcategory of 'GrandFather'?, \nFalse
Can Parent that is also Sex be considered a subcategory of 'OffSpring'?, \nFalse
Can something that hasParent some Brother be considered a subcategory of 'OffSpring'?, \nFalse
Can GrandParent that is also Sex be considered a subcategory of 'Child'?, \nFalse
Can Brother that is also OffSpring be considered a subcategory of 'Son'?, \nFalse
Can GrandParent that is also Sister be considered a subcategory of 'Male'?, \nFalse
Can Man that is also Sibling be considered a subcategory of 'Child'?, \nFalse
Can Daughter that is also GrandFather be considered a subcategory of 'Woman'?, \nFalse
Can Father that is also Female be considered a subcategory of 'Sister'?, \nFalse
Can GrandFather that is also Man be considered a subcategory of 'Woman'?, \nFalse
Can Child that is also Woman be considered a subcategory of 'Sex'?, \nFalse
Can Child that is also Parent be considered a subcategory of 'Female'?, \nFalse
Can Brother that is also OffSpring be considered a subcategory of 'Mother'?, \nFalse
Can Father that is also GrandParent be considered a subcategory of 'Woman'?, \nFalse
Can something that hasChild some Sister be considered a subcategory of 'Female'?, \nFalse
Can Brother be considered a subcategory of 'something that hasSex some Mother'?, \nFalse
Can GrandFather that is also Son be considered a subcategory of 'Child'?, \nFalse
Can Sibling that is also Son be considered a subcategory of 'Brother'?, \nFalse
Can Male that is also Sex be considered a subcategory of 'Brother'?, \nI
Can something that hasSibling some Sex be considered a subcategory of 'Son'?, \nNo
Can Father that is also Parent be considered a subcategory of 'Woman'?, \nFalse
Can Male that is also Person be considered a subcategory of 'Child'?, \nFalse
Can something that hasParent some Daughter be considered a subcategory of 'Son'?, \nFalse
Can something that hasSibling some GrandFather be considered a subcategory of 'Father'?, \nFalse
Can Father that is also Person be considered a subcategory of 'Sister'?, \nFalse
Can Male that is also Parent be considered a subcategory of 'Man'?, \nFalse
Can something that hasParent some Father be considered a subcategory of 'Father'?, \nFalse
Can Female that is also Parent be considered a subcategory of 'GrandParent'?, \nFalse
Can Brother be considered a subcategory of 'something that hasParent some GrandParent'?, \nFalse
Can Daughter that is also GrandFather be considered a subcategory of 'Sibling'?, \nFalse
Can Child that is also Sibling be considered a subcategory of 'Person'?, \nFalse
Can something that hasSex some Female be considered a subcategory of 'Female'?, \nFalse
Can something that hasSibling some Mother be considered a subcategory of 'Daughter'?, \nFalse
Can Woman be considered a subcategory of 'something that hasSibling some GrandFather'?, \nFalse
Can Male that is also Sibling be considered a subcategory of 'GrandFather'?, \nFalse
Can Daughter that is also Father be considered a subcategory of 'Brother'?, \nFalse
Can Sister be considered a subcategory of 'something that hasSex some Daughter'?, \nFalse
Can Man be considered a subcategory of 'something that hasChild some Sibling'?, \nFalse
Can something that hasSex some Sibling be considered a subcategory of 'Brother'?, \nFalse
Can something that hasChild some Female be considered a subcategory of 'Mother'?, \nFalse
Can Woman be considered a subcategory of 'something that hasParent some OffSpring'?, \nFalse
Can Child that is also GrandParent be considered a subcategory of 'OffSpring'?, \nFalse
Can Person be considered a subcategory of 'something that hasChild some Child'?, \nTrue
Can GrandMother be considered a subcategory of 'something that hasChild some Child'?, \nFalse
Can Thing be considered a subcategory of 'something that hasChild some Child'?, \nFalse
Can Son be considered a subcategory of 'something that hasChild some Child'?, \nTrue
Can something that hasChild some Child be considered a subcategory of 'something that hasChild some Child'?, \nTrue
Can Thing be considered a subcategory of 'Child'?, \nFalse
Can Son be considered a subcategory of 'Child'?, \nTrue
Can Son be considered a subcategory of 'GrandMother'?, \nFalse
Can Son be considered a subcategory of 'Thing'?, \nTrue
Can Son be considered a subcategory of 'Child that is also Thing'?, \nFalse
Can Son be considered a subcategory of 'Female'?, \nFalse
Can Son be considered a subcategory of 'Father'?, \nFalse
Can Son be considered a subcategory of 'Person'?, \nFalse
Can Son be considered a subcategory of 'Brother'?, \nFalse
Can Son be considered a subcategory of 'Parent'?, \nFalse
Can Son be considered a subcategory of 'Daughter'?, \nFalse
Can Son be considered a subcategory of 'Man'?, \nFalse
Can Son be considered a subcategory of 'Mother'?, \nFalse
Can Son be considered a subcategory of 'GrandParent'?, \nFalse
Can Son be considered a subcategory of 'Sex'?, \nFalse
Can Son be considered a subcategory of 'Sister'?, \nFalse
Can Son be considered a subcategory of 'OffSpring'?, \nFalse
Can Son be considered a subcategory of 'Woman'?, \nFalse
Can Son be considered a subcategory of 'Male'?, \nFalse
Can Son be considered a subcategory of 'Sibling'?, \nFalse
Can Man be considered a subcategory of 'something that hasSex some Child'?, \nFalse
Can Brother that is also Son be considered a subcategory of 'OffSpring'?, \nFalse
Can Daughter that is also Mother be considered a subcategory of 'Woman'?, \nFalse
Can OffSpring that is also Sex be considered a subcategory of 'Woman'?, \nFalse
Can Father that is also Man be considered a subcategory of 'Male'?, \nFalse
Can GrandParent be considered a subcategory of 'Child'?, \nFalse
Can Female that is also GrandMother be considered a subcategory of 'Sibling'?, \nFalse
Can GrandMother that is also Sister be considered a subcategory of 'Male'?, \nFalse
Can Man be considered a subcategory of 'something that hasSex some GrandFather'?, \nFalse
Can GrandParent be considered a subcategory of 'something that hasChild some Man'?, \nFalse
Can something that hasChild some Female be considered a subcategory of 'GrandParent'?, \nFalse
Can GrandMother that is also Mother be considered a subcategory of 'GrandFather'?, \nFalse
Can Brother that is also Sex be considered a subcategory of 'Sibling'?, \nI
Can Brother that is also Son be considered a subcategory of 'Sibling'?, \nTrue
Can Brother that is also Son be considered a subcategory of 'GrandMother'?, \nFalse
Can Brother that is also Son be considered a subcategory of 'Female'?, \nFalse
Can Brother that is also Son be considered a subcategory of 'Father'?, \nFalse
Can Brother that is also Son be considered a subcategory of 'Person'?, \nTrue
Can Brother be considered a subcategory of 'Person'?, \nFalse
Can Father that is also Sex be considered a subcategory of 'Daughter'?, \nI
Can something that hasSibling some Sister be considered a subcategory of 'Mother'?, \nFalse
Can Father that is also Man be considered a subcategory of 'Sex'?, \nFalse
Can Male that is also Woman be considered a subcategory of 'Person'?, \nFalse
Can something that hasParent some Child be considered a subcategory of 'Brother'?, \nFalse
Can Female that is also Son be considered a subcategory of 'Daughter'?, \nFalse
Can Brother that is also Parent be considered a subcategory of 'Woman'?, \nFalse
Can GrandFather that is also GrandParent be considered a subcategory of 'Sex'?, \nFalse
Can OffSpring that is also Sibling be considered a subcategory of 'Female'?, \nFalse
Can GrandParent be considered a subcategory of 'something that hasSex some Sibling'?, \nFalse
Can Brother that is also Daughter be considered a subcategory of 'GrandParent'?, \nFalse
Can Father that is also Man be considered a subcategory of 'GrandMother'?, \nFalse
Can Sister that is also Son be considered a subcategory of 'Man'?, \nFalse
Can Man that is also Parent be considered a subcategory of 'Father'?, \nFalse
Can Sex that is also Woman be considered a subcategory of 'GrandFather'?, \nI
Can Child that is also OffSpring be considered a subcategory of 'Man'?, \nFalse
Can Father that is also Son be considered a subcategory of 'Person'?, \nFalse
Can GrandFather that is also Male be considered a subcategory of 'Person'?, \nTrue
Can GrandFather that is also Male be considered a subcategory of 'GrandMother'?, \nFalse
Can GrandFather that is also Male be considered a subcategory of 'Son'?, \nFalse
Can GrandFather that is also Male be considered a subcategory of 'Female'?, \nFalse
Can GrandFather that is also Male be considered a subcategory of 'Father'?, \nFalse
Can GrandFather that is also Male be considered a subcategory of 'Child'?, \nFalse
Can Male be considered a subcategory of 'Person'?, \nFalse
Can GrandFather be considered a subcategory of 'Person'?, \nFalse
Can something that hasParent some GrandParent be considered a subcategory of 'Father'?, \nFalse
Can something that hasSibling some Sibling be considered a subcategory of 'Sibling'?, \nFalse
Can Brother that is also Person be considered a subcategory of 'GrandFather'?, \nFalse
Can Daughter that is also Woman be considered a subcategory of 'Female'?, \nFalse
Can Sibling be considered a subcategory of 'something that hasSex some GrandParent'?, \nFalse
Can Female be considered a subcategory of 'something that hasChild some GrandFather'?, \nFalse
Can GrandFather that is also Parent be considered a subcategory of 'Sibling'?, \nFalse
Can GrandParent that is also Person be considered a subcategory of 'Brother'?, \nFalse
Can OffSpring that is also Sibling be considered a subcategory of 'Son'?, \nFalse
Can Female that is also Woman be considered a subcategory of 'Sibling'?, \nFalse
Can something that hasSibling some Daughter be considered a subcategory of 'Parent'?, \nFalse
Can Child that is also Sister be considered a subcategory of 'GrandMother'?, \nFalse
Can Female that is also Sibling be considered a subcategory of 'Parent'?, \nFalse
Can something that hasSex some Person be considered a subcategory of 'Parent'?, \nI
Can Daughter that is also Sex be considered a subcategory of 'Parent'?, \nI
Can Female that is also Woman be considered a subcategory of 'Sister'?, \nFalse
Can Person be considered a subcategory of 'something that hasSex some OffSpring'?, \nFalse
Can GrandMother that is also Sibling be considered a subcategory of 'Brother'?, \nFalse
Can OffSpring that is also Parent be considered a subcategory of 'Father'?, \nFalse
Can GrandFather that is also Sister be considered a subcategory of 'Sibling'?, \nFalse
Can Child that is also Mother be considered a subcategory of 'Father'?, \nFalse
Can Male that is also Sex be considered a subcategory of 'Son'?, \nFalse
Can GrandFather that is also Sex be considered a subcategory of 'Male'?, \nFalse
Can Brother that is also Person be considered a subcategory of 'Child'?, \nFalse
Can Child that is also Mother be considered a subcategory of 'Son'?, \nFalse
Can GrandFather that is also Sister be considered a subcategory of 'Parent'?, \nFalse
Can something that hasParent some Parent be considered a subcategory of 'Woman'?, \nFalse
Can GrandParent be considered a subcategory of 'something that hasSibling some OffSpring'?, \nFalse
Can Mother that is also OffSpring be considered a subcategory of 'Male'?, \nFalse
Can Woman be considered a subcategory of 'something that hasChild some Child'?, \nFalse
Can Female that is also Mother be considered a subcategory of 'Male'?, \nFalse
Can GrandParent be considered a subcategory of 'OffSpring'?, \nFalse
Can GrandFather that is also Sibling be considered a subcategory of 'Father'?, \nFalse
Can Daughter that is also Woman be considered a subcategory of 'Sister'?, \nFalse
Can Man that is also Person be considered a subcategory of 'Sibling'?, \nFalse
Can GrandMother that is also Sister be considered a subcategory of 'Sibling'?, \nFalse
Can Male that is also Sex be considered a subcategory of 'Female'?, \nFalse
Can Child that is also GrandParent be considered a subcategory of 'Sister'?, \nFalse
Can Brother that is also Daughter be considered a subcategory of 'Mother'?, \nFalse
Can Mother that is also Woman be considered a subcategory of 'Sex'?, \nFalse
Can Father that is also Man be considered a subcategory of 'Brother'?, \nFalse
Can Person that is also Sex be considered a subcategory of 'Brother'?, \nFalse
Can Man that is also Parent be considered a subcategory of 'Woman'?, \nFalse
Can something that hasChild some GrandParent be considered a subcategory of 'Woman'?, \nFalse
Can Child that is also OffSpring be considered a subcategory of 'Sex'?, \nFalse
Can Child that is also Sister be considered a subcategory of 'Female'?, \nTrue
Can Child that is also Sister be considered a subcategory of 'Son'?, \nFalse
Can Sister be considered a subcategory of 'Female'?, \nFalse
Can Child be considered a subcategory of 'Female'?, \nFalse
Can GrandParent that is also Male be considered a subcategory of 'Brother'?, \nFalse
Can Sibling be considered a subcategory of 'something that hasSex some Mother'?, \nFalse
Can GrandMother that is also Sibling be considered a subcategory of 'OffSpring'?, \nFalse
Can Father that is also Son be considered a subcategory of 'OffSpring'?, \nTrue
Can Father that is also Son be considered a subcategory of 'GrandMother'?, \nFalse
Can Father that is also Son be considered a subcategory of 'Female'?, \nFalse
Can Father that is also Son be considered a subcategory of 'Brother'?, \nFalse
Can Father that is also Son be considered a subcategory of 'Daughter'?, \nFalse
Can Father that is also Son be considered a subcategory of 'Man'?, \nFalse
Can Father that is also Son be considered a subcategory of 'Mother'?, \nFalse
Can Father that is also Son be considered a subcategory of 'GrandParent'?, \nFalse
Can Father that is also Son be considered a subcategory of 'Sex'?, \nFalse
Can Father that is also Son be considered a subcategory of 'Sister'?, \nFalse
Can Brother that is also Sister be considered a subcategory of 'Man'?, \nFalse
Can GrandFather that is also Woman be considered a subcategory of 'Father'?, \nFalse
Can something that hasSex some Sister be considered a subcategory of 'GrandFather'?, \nFalse
Can something that hasSibling some Man be considered a subcategory of 'Man'?, \nFalse
Can Man that is also Mother be considered a subcategory of 'Person'?, \nFalse
Can GrandParent that is also OffSpring be considered a subcategory of 'Person'?, \nFalse
Can Child that is also Person be considered a subcategory of 'Daughter'?, \nFalse
Can Daughter that is also Sister be considered a subcategory of 'Sibling'?, \nFalse
Can something that hasChild some Male be considered a subcategory of 'Sex'?, \nFalse
Can GrandMother be considered a subcategory of 'something that hasSex some Female'?, \nFalse
Can Child that is also Sibling be considered a subcategory of 'GrandParent'?, \nFalse
Can Parent that is also Son be considered a subcategory of 'Mother'?, \nFalse
Can Sex be considered a subcategory of 'OffSpring'?, \nFalse
Can Man be considered a subcategory of 'something that hasChild some Female'?, \nFalse
Can GrandParent that is also Person be considered a subcategory of 'Daughter'?, \nFalse
Can Daughter that is also Parent be considered a subcategory of 'Sister'?, \nFalse
Can Man that is also Sex be considered a subcategory of 'GrandMother'?, \nFalse
Can Person that is also Woman be considered a subcategory of 'OffSpring'?, \nFalse
Can Child that is also GrandParent be considered a subcategory of 'Parent'?, \nFalse
Can Daughter be considered a subcategory of 'something that hasParent some Father'?, \nTrue
Can Daughter be considered a subcategory of 'GrandMother'?, \nFalse
Can Daughter be considered a subcategory of 'Son'?, \nFalse
Can Daughter be considered a subcategory of 'Female'?, \nFalse
Can Daughter be considered a subcategory of 'Father'?, \nFalse
Can Daughter be considered a subcategory of 'Child'?, \nTrue
Can Daughter be considered a subcategory of 'Thing'?, \nFalse
Can Daughter be considered a subcategory of 'Person'?, \nFalse
Can Daughter be considered a subcategory of 'Brother'?, \nFalse
Can Daughter be considered a subcategory of 'Parent'?, \nFalse
Can Daughter be considered a subcategory of 'Man'?, \nFalse
Can Daughter be considered a subcategory of 'Mother'?, \nFalse
Can Daughter be considered a subcategory of 'Sex'?, \nFalse
Can Daughter be considered a subcategory of 'Sister'?, \nFalse
Can Daughter be considered a subcategory of 'OffSpring'?, \nFalse
Can Daughter be considered a subcategory of 'Woman'?, \nTrue
Can Daughter be considered a subcategory of 'Child that is also Woman'?, \nFalse
Can Daughter be considered a subcategory of 'Male'?, \nFalse
Can Daughter be considered a subcategory of 'Sibling'?, \nFalse
Can Daughter be considered a subcategory of 'GrandFather'?, \nFalse
Can GrandMother that is also Person be considered a subcategory of 'OffSpring'?, \nFalse
Can GrandFather that is also Person be considered a subcategory of 'Father'?, \nFalse
Can Daughter that is also Sibling be considered a subcategory of 'Sister'?, \nFalse
Can GrandMother be considered a subcategory of 'something that hasSex some Man'?, \nFalse
Can Father be considered a subcategory of 'something that hasChild some Father'?, \nTrue
Can Woman be considered a subcategory of 'something that hasParent some GrandParent'?, \nFalse
Can Male be considered a subcategory of 'something that hasSibling some GrandParent'?, \nFalse
Can Female that is also Sex be considered a subcategory of 'Sister'?, \nFalse
Can Brother be considered a subcategory of 'GrandMother'?, \nFalse
Can GrandFather be considered a subcategory of 'something that hasChild some GrandParent'?, \nFalse
Can Person that is also Sibling be considered a subcategory of 'Sex'?, \nFalse
Can something that hasSibling some Male be considered a subcategory of 'Person'?, \nTrue
Can something that hasSibling some Male be considered a subcategory of 'GrandMother'?, \nFalse
Can something that hasSibling some Male be considered a subcategory of 'Son'?, \nFalse
Can something that hasSibling some Male be considered a subcategory of 'Female'?, \nFalse
Can something that hasSibling some Male be considered a subcategory of 'Father'?, \nFalse
Can something that hasSibling some Male be considered a subcategory of 'Child'?, \nFalse
Can Thing be considered a subcategory of 'something that hasSibling some Male'?, \nFalse
Can Thing be considered a subcategory of 'GrandMother'?, \nFalse
Can Thing be considered a subcategory of 'Son'?, \nFalse
Can Thing be considered a subcategory of 'Female'?, \nFalse
Can Thing be considered a subcategory of 'Father'?, \nFalse
Can Thing be considered a subcategory of 'Person'?, \nFalse
Can Thing be considered a subcategory of 'Brother'?, \nFalse
Can Thing be considered a subcategory of 'Parent'?, \nFalse
Can Thing be considered a subcategory of 'Daughter'?, \nFalse
Can Thing be considered a subcategory of 'Man'?, \nFalse
Can Thing be considered a subcategory of 'Mother'?, \nFalse
Can Thing be considered a subcategory of 'GrandParent'?, \nFalse
Can Thing be considered a subcategory of 'Sex'?, \nFalse
Can Thing be considered a subcategory of 'Sister'?, \nFalse
Can Thing be considered a subcategory of 'OffSpring'?, \nFalse
Can Thing be considered a subcategory of 'Woman'?, \nFalse
Can Thing be considered a subcategory of 'Male'?, \nFalse
Can Thing be considered a subcategory of 'Sibling'?, \nFalse
Can Thing be considered a subcategory of 'GrandFather'?, \nFalse
Can Male be considered a subcategory of 'GrandMother'?, \nFalse
Can Male be considered a subcategory of 'Son'?, \nFalse
Can Male be considered a subcategory of 'Female'?, \nFalse
Can Male be considered a subcategory of 'Father'?, \nFalse
Can Male be considered a subcategory of 'Child'?, \nFalse
Can Male be considered a subcategory of 'Brother'?, \nFalse
Can Male be considered a subcategory of 'Parent'?, \nFalse
