Can Animal that is also Backbone be considered a subcategory of 'Carnivore'?, \nFalse
Can Plant be considered a subcategory of 'Backbone that is also Mammal'?, \nFalse
Can Vertebrate be considered a subcategory of 'Backbone that is also Mammal'?, \nFalse
Can Cat be considered a subcategory of 'Backbone that is also Mammal'?, \nFalse
Can Fish be considered a subcategory of 'Backbone that is also Mammal'?, \nFalse
Can Mammal be considered a subcategory of 'Backbone that is also Mammal'?, \nFalse
Can Herbivore be considered a subcategory of 'Backbone that is also Mammal'?, \nFalse
Can Leg be considered a subcategory of 'Backbone that is also Mammal'?, \nFalse
Can Elephant be considered a subcategory of 'Backbone that is also Mammal'?, \nFalse
Can Bird be considered a subcategory of 'Backbone that is also Mammal'?, \nFalse
Can Backbone be considered a subcategory of 'Backbone that is also Mammal'?, \nFalse
Can Wing be considered a subcategory of 'Backbone that is also Mammal'?, \nFalse
Can Animal that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also something that (has_part some (Backbone that is also Mammal)) be considered a subcategory of 'Animal that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also something that (has_part some (Backbone that is also Mammal))'?, \nTrue
Can Meat be considered a subcategory of 'Animal that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also something that (has_part some (Animal that is also Backbone that is also Mammal))'?, \nTrue
Can Animal that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also something that (has_part some (Animal that is also Backbone that is also Mammal)) be considered a subcategory of 'Animal that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also something that (has_part some (Animal that is also Backbone that is also Mammal))'?, \nFalse
Can Animal be considered a subcategory of 'Animal that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also something that (has_part some (Animal that is also Backbone that is also Mammal))'?, \nFalse
Can Mammal be considered a subcategory of 'Animal that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also something that (has_part some (Animal that is also Backbone that is also Mammal))'?, \nFalse
Can Egg be considered a subcategory of 'Animal that is also Backbone that is also Mammal'?, \nFalse
Can Meat be considered a subcategory of 'Animal that is also Backbone that is also Mammal'?, \nTrue
Can Leg be considered a subcategory of 'something that lays some Plant'?, \nTrue
Can Egg be considered a subcategory of 'something that lays some Plant'?, \nFalse
Can Meat be considered a subcategory of 'something that lays some Plant'?, \nFalse
Can Water be considered a subcategory of 'something that lays some Plant'?, \nFalse
Can Animal be considered a subcategory of 'something that lays some Plant'?, \nFalse
Can Reptile be considered a subcategory of 'something that lays some Plant'?, \nFalse
Can Plant be considered a subcategory of 'something that lays some Plant'?, \nFalse
Can Vertebrate be considered a subcategory of 'something that lays some Plant'?, \nFalse
Can Cat be considered a subcategory of 'something that lays some Plant'?, \nFalse
Can Fish be considered a subcategory of 'something that lays some Plant'?, \nFalse
Can Mammal be considered a subcategory of 'something that lays some Plant'?, \nFalse
Can Herbivore be considered a subcategory of 'something that lays some Plant'?, \nFalse
Can something that lays some Plant be considered a subcategory of 'something that lays some Plant'?, \nTrue
Can Fish be considered a subcategory of 'Plant'?, \nFalse
Can Herbivore be considered a subcategory of 'Plant'?, \nTrue
Can Herbivore be considered a subcategory of 'Egg'?, \nFalse
Can Herbivore be considered a subcategory of 'Meat'?, \nFalse
Can Herbivore be considered a subcategory of 'Carnivore'?, \nFalse
Can Herbivore be considered a subcategory of 'Water'?, \nFalse
Can Herbivore be considered a subcategory of 'Animal'?, \nTrue
Can Herbivore be considered a subcategory of 'Animal that is also Plant'?, \nFalse
Can Herbivore be considered a subcategory of 'Reptile'?, \nFalse
Can Herbivore be considered a subcategory of 'Vertebrate'?, \nFalse
Can Herbivore be considered a subcategory of 'Cat'?, \nFalse
Can Herbivore be considered a subcategory of 'Fish'?, \nFalse
Can Herbivore be considered a subcategory of 'Mammal'?, \nFalse
Can Herbivore be considered a subcategory of 'Elephant'?, \nFalse
Can Herbivore be considered a subcategory of 'Bird'?, \nFalse
Can Herbivore be considered a subcategory of 'Wing'?, \nFalse
Can Carnivore that is also Elephant be considered a subcategory of 'Herbivore'?, \nFalse
Can Egg be considered a subcategory of 'something that has_part some Meat'?, \nFalse
Can Animal that is also Wing be considered a subcategory of 'Cat'?, \nFalse
Can Mammal that is also Meat be considered a subcategory of 'Plant'?, \nFalse
Can something that lives_in some Bird be considered a subcategory of 'Plant'?, \nFalse
Can Backbone be considered a subcategory of 'something that has_part some Cat'?, \nFalse
Can something that lives_in some Wing be considered a subcategory of 'Vertebrate'?, \nFalse
Can Plant be considered a subcategory of 'Herbivore'?, \nFalse
Can Vertebrate that is also Wing be considered a subcategory of 'Backbone'?, \nFalse
Can Elephant be considered a subcategory of 'something that lays some Cat'?, \nFalse
Can something that lays some Bird be considered a subcategory of 'Plant'?, \nFalse
Can Herbivore that is also Wing be considered a subcategory of 'Meat'?, \nFalse
Can Cat be considered a subcategory of 'something that lays some Vertebrate'?, \nFalse
Can Egg be considered a subcategory of 'something that has_part some Herbivore'?, \nFalse
Can Egg that is also Leg be considered a subcategory of 'Meat'?, \nFalse
Can Carnivore be considered a subcategory of 'something that eats some Mammal'?, \nTrue
Can Egg be considered a subcategory of 'something that eats some Mammal'?, \nFalse
Can Meat be considered a subcategory of 'something that eats some Mammal'?, \nFalse
Can something that eats some (Animal that is also Mammal) be considered a subcategory of 'something that eats some (Animal that is also Mammal)'?, \nTrue
Can Egg be considered a subcategory of 'Animal that is also Mammal'?, \nFalse
Can Water be considered a subcategory of 'Animal that is also Mammal'?, \nFalse
Can Animal be considered a subcategory of 'Animal that is also Mammal'?, \nFalse
Can Reptile be considered a subcategory of 'Animal that is also Mammal'?, \nFalse
Can Plant be considered a subcategory of 'Animal that is also Mammal'?, \nFalse
Can Vertebrate be considered a subcategory of 'Animal that is also Mammal'?, \nTrue
Can Backbone be considered a subcategory of 'something that has_part some Backbone'?, \nTrue
Can Backbone be considered a subcategory of 'Egg'?, \nFalse
Can Backbone be considered a subcategory of 'Meat'?, \nFalse
Can Backbone be considered a subcategory of 'Carnivore'?, \nFalse
Can Backbone be considered a subcategory of 'Water'?, \nFalse
Can Backbone be considered a subcategory of 'Animal'?, \nFalse
Can Backbone be considered a subcategory of 'Reptile'?, \nFalse
Can Backbone be considered a subcategory of 'Plant'?, \nFalse
Can Backbone be considered a subcategory of 'Vertebrate'?, \nTrue
Can Backbone be considered a subcategory of 'Cat'?, \nFalse
Can Backbone be considered a subcategory of 'Fish'?, \nFalse
Can Backbone be considered a subcategory of 'Mammal'?, \nFalse
Can Backbone be considered a subcategory of 'Herbivore'?, \nFalse
Can Backbone be considered a subcategory of 'Elephant'?, \nFalse
Can Backbone be considered a subcategory of 'Bird'?, \nFalse
Can Backbone be considered a subcategory of 'Wing'?, \nFalse
Can something that lives_in some Wing be considered a subcategory of 'Meat'?, \nTrue
Can something that lives_in some Wing be considered a subcategory of 'Egg'?, \nFalse
Can Thing be considered a subcategory of 'something that lives_in some (Animal that is also Bird that is also Mammal that is also Vertebrate that is also Wing)'?, \nFalse
Can Animal that is also Bird that is also Mammal that is also Vertebrate that is also Wing be considered a subcategory of 'Egg'?, \nFalse
Can Animal that is also Bird that is also Mammal that is also Vertebrate that is also Wing be considered a subcategory of 'Meat'?, \nFalse
Can Animal that is also Bird that is also Mammal that is also Vertebrate that is also Wing be considered a subcategory of 'Carnivore'?, \nFalse
Can Animal that is also Bird that is also Mammal that is also Vertebrate that is also Wing be considered a subcategory of 'Water'?, \nFalse
Can Animal that is also Bird that is also Mammal that is also Vertebrate that is also Wing be considered a subcategory of 'Reptile'?, \nFalse
Can Animal that is also Bird that is also Mammal that is also Vertebrate that is also Wing be considered a subcategory of 'Plant'?, \nFalse
Can Animal that is also Bird that is also Mammal that is also Vertebrate that is also Wing be considered a subcategory of 'Cat'?, \nFalse
Can Animal that is also Bird that is also Mammal that is also Vertebrate that is also Wing be considered a subcategory of 'Fish'?, \nFalse
Can Animal that is also Bird that is also Mammal that is also Vertebrate that is also Wing be considered a subcategory of 'Herbivore'?, \nFalse
Can Animal that is also Bird that is also Mammal that is also Vertebrate that is also Wing be considered a subcategory of 'Leg'?, \nFalse
Can Animal that is also Bird that is also Mammal that is also Vertebrate that is also Wing be considered a subcategory of 'Elephant'?, \nFalse
Can Animal that is also Bird that is also Mammal that is also Vertebrate that is also Wing be considered a subcategory of 'Backbone'?, \nFalse
Can something that (lives_in some Animal) that is also something that (lives_in some (Bird that is also Mammal that is also Vertebrate that is also Wing)) be considered a subcategory of 'something that lives_in some (Animal that is also Bird that is also Mammal that is also Vertebrate that is also Wing)'?, \nTrue
Can something that lives_in some (Animal that is also Bird that is also Mammal that is also Vertebrate that is also Wing) be considered a subcategory of 'something that lives_in some (Animal that is also Bird that is also Mammal that is also Vertebrate that is also Wing)'?, \nFalse
Can something that lives_in some (Animal that is also Bird that is also Mammal that is also Vertebrate that is also Wing) be considered a subcategory of 'Meat'?, \nFalse
Can something that lives_in some (Bird that is also Mammal that is also Vertebrate that is also Wing) be considered a subcategory of 'Meat'?, \nFalse
Can something that lives_in some (Animal that is also Mammal that is also Vertebrate that is also Wing) be considered a subcategory of 'Meat'?, \nFalse
Can something that lives_in some (Animal that is also Bird that is also Vertebrate that is also Wing) be considered a subcategory of 'Meat'?, \nTrue
Can something that lives_in some (Animal that is also Bird that is also Wing) be considered a subcategory of 'Meat'?, \nFalse
Can something that lives_in some (Animal that is also Bird that is also Vertebrate) be considered a subcategory of 'Meat'?, \nTrue
Can Mammal be considered a subcategory of 'something that lays some Vertebrate'?, \nFalse
Can Plant be considered a subcategory of 'something that eats some Mammal'?, \nFalse
Can Elephant be considered a subcategory of 'something that lives_in some Herbivore'?, \nFalse
Can something that lays some Herbivore be considered a subcategory of 'Backbone'?, \nFalse
Can Meat be considered a subcategory of 'something that eats some Animal'?, \nTrue
Can Egg be considered a subcategory of 'something that eats some Animal'?, \nTrue
Can something that eats some (Animal that is also Vertebrate) be considered a subcategory of 'something that eats some (Animal that is also Vertebrate)'?, \nTrue
Can Egg be considered a subcategory of 'Animal that is also Vertebrate'?, \nFalse
Can Water be considered a subcategory of 'Animal that is also Vertebrate'?, \nFalse
Can Plant be considered a subcategory of 'Animal that is also Vertebrate'?, \nFalse
Can Herbivore be considered a subcategory of 'Animal that is also Vertebrate'?, \nFalse
Can Leg be considered a subcategory of 'Animal that is also Vertebrate'?, \nFalse
Can Elephant be considered a subcategory of 'Animal that is also Vertebrate'?, \nTrue
Can Elephant be considered a subcategory of 'Egg'?, \nFalse
Can Elephant be considered a subcategory of 'Meat'?, \nFalse
Can Elephant be considered a subcategory of 'Carnivore'?, \nFalse
Can Elephant be considered a subcategory of 'Water'?, \nFalse
Can Elephant be considered a subcategory of 'Reptile'?, \nFalse
Can Elephant be considered a subcategory of 'Cat'?, \nFalse
Can Elephant be considered a subcategory of 'Fish'?, \nFalse
Can Elephant be considered a subcategory of 'Mammal'?, \nTrue
Can Elephant be considered a subcategory of 'Animal that is also Mammal that is also Vertebrate'?, \nTrue
Can Elephant be considered a subcategory of 'Herbivore'?, \nTrue
Can Elephant be considered a subcategory of 'Animal that is also Herbivore that is also Mammal that is also Vertebrate'?, \nTrue
Can Elephant be considered a subcategory of 'Bird'?, \nFalse
Can Elephant be considered a subcategory of 'Wing'?, \nFalse
Can something that has_part some Wing be considered a subcategory of 'Cat'?, \nFalse
Can Bird be considered a subcategory of 'something that eats some Vertebrate'?, \nFalse
Can Animal that is also Water be considered a subcategory of 'Bird'?, \nFalse
Can Herbivore that is also Wing be considered a subcategory of 'Cat'?, \nFalse
Can something that lives_in some Water be considered a subcategory of 'Plant'?, \nTrue
Can something that lives_in some Water be considered a subcategory of 'Egg'?, \nFalse
Can something that lives_in some Water be considered a subcategory of 'Meat'?, \nFalse
Can something that lives_in some Water be considered a subcategory of 'Carnivore'?, \nTrue
Can Thing be considered a subcategory of 'something that lives_in some Water'?, \nTrue
Can something that lives_in some Thing be considered a subcategory of 'Carnivore'?, \nFalse
Can Carnivore that is also Meat be considered a subcategory of 'Egg'?, \nFalse
Can Elephant be considered a subcategory of 'something that lays some Wing'?, \nFalse
Can Reptile that is also Vertebrate be considered a subcategory of 'Leg'?, \nFalse
Can Meat be considered a subcategory of 'something that has_part some Cat'?, \nTrue
Can Egg be considered a subcategory of 'something that has_part some Cat'?, \nFalse
Can something that has_part some (Cat that is also Meat) be considered a subcategory of 'something that has_part some (Cat that is also Meat)'?, \nTrue
Can Egg be considered a subcategory of 'Cat that is also Meat'?, \nFalse
Can Water be considered a subcategory of 'Cat that is also Meat'?, \nFalse
Can Animal be considered a subcategory of 'Cat that is also Meat'?, \nFalse
Can Reptile be considered a subcategory of 'Cat that is also Meat'?, \nFalse
Can Plant be considered a subcategory of 'Cat that is also Meat'?, \nFalse
Can Vertebrate be considered a subcategory of 'Cat that is also Meat'?, \nFalse
Can Fish be considered a subcategory of 'Cat that is also Meat'?, \nFalse
Can Mammal be considered a subcategory of 'Cat that is also Meat'?, \nFalse
Can Herbivore be considered a subcategory of 'Cat that is also Meat'?, \nFalse
Can Leg be considered a subcategory of 'Cat that is also Meat'?, \nFalse
Can Elephant be considered a subcategory of 'Cat that is also Meat'?, \nFalse
Can Bird be considered a subcategory of 'Cat that is also Meat'?, \nFalse
Can Backbone be considered a subcategory of 'Cat that is also Meat'?, \nFalse
Can Wing be considered a subcategory of 'Cat that is also Meat'?, \nFalse
Can Meat be considered a subcategory of 'Animal that is also something that (has_part some (Cat that is also Meat))'?, \nFalse
Can Meat be considered a subcategory of 'Mammal that is also something that (has_part some (Cat that is also Meat))'?, \nFalse
Can Meat be considered a subcategory of 'something that has_part some (Animal that is also Cat that is also Meat)'?, \nFalse
Can Meat be considered a subcategory of 'something that has_part some (Cat that is also Mammal that is also Meat)'?, \nTrue
Can something that has_part some (Carnivore that is also Cat that is also Mammal that is also Meat) be considered a subcategory of 'something that has_part some (Carnivore that is also Cat that is also Mammal that is also Meat)'?, \nTrue
Can Egg be considered a subcategory of 'Carnivore that is also Cat that is also Mammal that is also Meat'?, \nFalse
Can Water be considered a subcategory of 'Carnivore that is also Cat that is also Mammal that is also Meat'?, \nFalse
Can Animal be considered a subcategory of 'Carnivore that is also Cat that is also Mammal that is also Meat'?, \nFalse
Can Reptile be considered a subcategory of 'Carnivore that is also Cat that is also Mammal that is also Meat'?, \nFalse
Can Plant be considered a subcategory of 'Carnivore that is also Cat that is also Mammal that is also Meat'?, \nFalse
Can Vertebrate be considered a subcategory of 'Carnivore that is also Cat that is also Mammal that is also Meat'?, \nFalse
Can Fish be considered a subcategory of 'Carnivore that is also Cat that is also Mammal that is also Meat'?, \nFalse
Can Mammal be considered a subcategory of 'Carnivore that is also Cat that is also Mammal that is also Meat'?, \nFalse
Can Herbivore be considered a subcategory of 'Carnivore that is also Cat that is also Mammal that is also Meat'?, \nFalse
Can Leg be considered a subcategory of 'Carnivore that is also Cat that is also Mammal that is also Meat'?, \nTrue
Can Fish be considered a subcategory of 'something that eats some Bird'?, \nFalse
Can Bird be considered a subcategory of 'something that has_part some Mammal'?, \nFalse
Can Herbivore that is also Wing be considered a subcategory of 'Backbone'?, \nFalse
Can Backbone be considered a subcategory of 'something that eats some Cat'?, \nTrue
Can Egg be considered a subcategory of 'something that eats some Cat'?, \nFalse
Can Meat be considered a subcategory of 'something that eats some Cat'?, \nFalse
Can Carnivore be considered a subcategory of 'something that eats some Cat'?, \nTrue
Can something that eats some (Cat that is also Meat) be considered a subcategory of 'something that eats some (Cat that is also Meat)'?, \nFalse
Can Animal be considered a subcategory of 'something that eats some (Cat that is also Meat)'?, \nTrue
Can Animal be considered a subcategory of 'Vertebrate that is also something that (eats some (Cat that is also Meat))'?, \nTrue
Can Animal be considered a subcategory of 'Mammal that is also Vertebrate that is also something that (eats some (Cat that is also Meat))'?, \nFalse
Can Animal be considered a subcategory of 'Vertebrate that is also something that (eats some (Cat that is also Meat that is also Vertebrate))'?, \nFalse
Can Animal be considered a subcategory of 'Vertebrate that is also something that (eats some (Cat that is also Mammal that is also Meat))'?, \nTrue
Can Animal that is also Vertebrate that is also something that (eats some (Cat that is also Mammal that is also Meat)) be considered a subcategory of 'Animal that is also Vertebrate that is also something that (eats some (Cat that is also Mammal that is also Meat))'?, \nTrue
Can Egg be considered a subcategory of 'Cat that is also Mammal that is also Meat'?, \nFalse
Can Water be considered a subcategory of 'Cat that is also Mammal that is also Meat'?, \nFalse
Can Animal be considered a subcategory of 'Cat that is also Mammal that is also Meat'?, \nFalse
Can Reptile be considered a subcategory of 'Cat that is also Mammal that is also Meat'?, \nFalse
Can Plant be considered a subcategory of 'Cat that is also Mammal that is also Meat'?, \nFalse
Can Vertebrate be considered a subcategory of 'Cat that is also Mammal that is also Meat'?, \nFalse
Can Fish be considered a subcategory of 'Cat that is also Mammal that is also Meat'?, \nFalse
Can Mammal be considered a subcategory of 'Cat that is also Mammal that is also Meat'?, \nTrue
Can something that lives_in some Wing be considered a subcategory of 'Plant'?, \nTrue
Can something that lives_in some Wing be considered a subcategory of 'Water'?, \nFalse
Can something that lives_in some Wing be considered a subcategory of 'Reptile'?, \nTrue
Can Animal that is also Backbone that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate be considered a subcategory of 'Animal that is also Backbone that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also something that (lives_in some (Animal that is also Backbone that is also Bird that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also Wing))'?, \nFalse
Can Animal that is also Backbone that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate be considered a subcategory of 'Egg'?, \nFalse
Can Animal that is also Backbone that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate be considered a subcategory of 'Water'?, \nFalse
Can Animal that is also Backbone that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate be considered a subcategory of 'Reptile'?, \nFalse
Can Animal that is also Backbone that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate be considered a subcategory of 'Plant'?, \nFalse
Can Animal that is also Backbone that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate be considered a subcategory of 'Fish'?, \nFalse
Can Animal that is also Backbone that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate be considered a subcategory of 'Herbivore'?, \nFalse
Can Animal that is also Backbone that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate be considered a subcategory of 'Elephant'?, \nFalse
Can Animal that is also Backbone that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate be considered a subcategory of 'Bird'?, \nFalse
Can Animal that is also Backbone that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate be considered a subcategory of 'Wing'?, \nFalse
Can Animal that is also Backbone that is also Bird that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also Wing be considered a subcategory of 'Egg'?, \nFalse
Can Animal that is also Backbone that is also Bird that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also Wing be considered a subcategory of 'Water'?, \nFalse
Can Animal that is also Backbone that is also Bird that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also Wing be considered a subcategory of 'Reptile'?, \nFalse
Can Animal that is also Backbone that is also Bird that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also Wing be considered a subcategory of 'Plant'?, \nFalse
Can Animal that is also Backbone that is also Bird that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also Wing be considered a subcategory of 'Fish'?, \nFalse
Can Animal that is also Backbone that is also Bird that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also Wing be considered a subcategory of 'Herbivore'?, \nFalse
Can Animal that is also Backbone that is also Bird that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also Wing be considered a subcategory of 'Elephant'?, \nFalse
Can Animal that is also Backbone that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also something that (lives_in some Animal) that is also something that (lives_in some (Backbone that is also Bird that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also Wing)) be considered a subcategory of 'Animal that is also Backbone that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also something that (lives_in some (Animal that is also Backbone that is also Bird that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also Wing))'?, \nTrue
Can Animal that is also Backbone that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also something that (lives_in some (Animal that is also Backbone that is also Bird that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also Wing)) be considered a subcategory of 'Animal that is also Backbone that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also something that (lives_in some (Animal that is also Backbone that is also Bird that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also Wing))'?, \nFalse
Can Animal that is also Backbone that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also something that (lives_in some (Animal that is also Backbone that is also Bird that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also Wing)) be considered a subcategory of 'Reptile'?, \nFalse
Can Backbone that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also something that (lives_in some (Animal that is also Backbone that is also Bird that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also Wing)) be considered a subcategory of 'Reptile'?, \nFalse
Can Animal that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also something that (lives_in some (Animal that is also Backbone that is also Bird that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also Wing)) be considered a subcategory of 'Reptile'?, \nFalse
Can Animal that is also Backbone that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also something that (lives_in some (Animal that is also Backbone that is also Bird that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also Wing)) be considered a subcategory of 'Reptile'?, \nFalse
Can Animal that is also Backbone that is also Carnivore that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also something that (lives_in some (Animal that is also Backbone that is also Bird that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also Wing)) be considered a subcategory of 'Reptile'?, \nFalse
Can Animal that is also Backbone that is also Carnivore that is also Cat that is also Mammal that is also Meat that is also Vertebrate that is also something that (lives_in some (Animal that is also Backbone that is also Bird that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also Wing)) be considered a subcategory of 'Reptile'?, \nFalse
Can Animal that is also Backbone that is also Carnivore that is also Cat that is also Leg that is also Meat that is also Vertebrate that is also something that (lives_in some (Animal that is also Backbone that is also Bird that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also Wing)) be considered a subcategory of 'Reptile'?, \nFalse
Can Animal that is also Backbone that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Vertebrate that is also something that (lives_in some (Animal that is also Backbone that is also Bird that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also Wing)) be considered a subcategory of 'Reptile'?, \nFalse
Can Animal that is also Backbone that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also something that (lives_in some (Animal that is also Backbone that is also Bird that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also Wing)) be considered a subcategory of 'Reptile'?, \nFalse
Can Animal that is also Backbone that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also something that (lives_in some (Backbone that is also Bird that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also Wing)) be considered a subcategory of 'Reptile'?, \nFalse
Can Animal that is also Backbone that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also something that (lives_in some (Animal that is also Bird that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also Wing)) be considered a subcategory of 'Reptile'?, \nFalse
Can Animal that is also Backbone that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also something that (lives_in some (Animal that is also Backbone that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also Wing)) be considered a subcategory of 'Reptile'?, \nFalse
Can Animal that is also Backbone that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also something that (lives_in some (Animal that is also Backbone that is also Bird that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also Wing)) be considered a subcategory of 'Reptile'?, \nFalse
Can Animal that is also Backbone that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also something that (lives_in some (Animal that is also Backbone that is also Bird that is also Carnivore that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also Wing)) be considered a subcategory of 'Reptile'?, \nFalse
Can Animal that is also Backbone that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also something that (lives_in some (Animal that is also Backbone that is also Bird that is also Carnivore that is also Cat that is also Mammal that is also Meat that is also Vertebrate that is also Wing)) be considered a subcategory of 'Reptile'?, \nFalse
Can Animal that is also Backbone that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also something that (lives_in some (Animal that is also Backbone that is also Bird that is also Carnivore that is also Cat that is also Leg that is also Meat that is also Vertebrate that is also Wing)) be considered a subcategory of 'Reptile'?, \nFalse
Can Animal that is also Backbone that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also something that (lives_in some (Animal that is also Backbone that is also Bird that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Vertebrate that is also Wing)) be considered a subcategory of 'Reptile'?, \nFalse
Can Animal that is also Backbone that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also something that (lives_in some (Animal that is also Backbone that is also Bird that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Wing)) be considered a subcategory of 'Reptile'?, \nFalse
Can Animal that is also Backbone that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate that is also something that (lives_in some (Animal that is also Backbone that is also Bird that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate)) be considered a subcategory of 'Reptile'?, \nFalse
Can something that lays some Backbone be considered a subcategory of 'Plant'?, \nFalse
Can Fish that is also Water be considered a subcategory of 'Herbivore'?, \nFalse
Can Herbivore be considered a subcategory of 'something that lives_in some Meat'?, \nFalse
Can something that has_part some Meat be considered a subcategory of 'Animal'?, \nTrue
Can something that has_part some Meat be considered a subcategory of 'Egg'?, \nFalse
Can something that has_part some Meat be considered a subcategory of 'Meat'?, \nFalse
Can something that has_part some Meat be considered a subcategory of 'Carnivore'?, \nTrue
Can Thing be considered a subcategory of 'something that has_part some (Animal that is also Backbone that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate)'?, \nFalse
