Parent and Person SubClassOf Father, \nTrue
Thing SubClassOf Brother and Child and Daughter and Father and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and (hasSex some (Brother and Child and Father and Parent and Person and Sister and Son and Thing)), True
Thing SubClassOf Brother and Child and Daughter and Father and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and (hasSex some (Brother and Child and Daughter and Father and Parent and Person and Sister and Son and Thing)), True
Thing SubClassOf Brother and Child and Daughter and Father and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and (hasSex some (Brother and Child and Daughter and Father and Man and Parent and Person and Sister and Son and Thing)), True.
Thing SubClassOf Brother and Child and Daughter and Father and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and (hasSex some (Brother and Child and Daughter and Father and Man and Mother and Parent and Person and Sister and Son and Thing)), True
Thing SubClassOf Brother and Child and Daughter and Father and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and (hasSex some (Brother and Child and Daughter and Father and GrandParent and Man and Mother and Parent and Person and Sister and Son and Thing)), True
Thing SubClassOf Brother and Child and Daughter and Father and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and (hasSex some (Brother and Child and Daughter and Father and GrandParent and Man and Mother and OffSpring and Parent and Person and Sister and Son and Thing)), True
Thing SubClassOf Brother and Child and Daughter and Father and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and (hasSex some (Brother and Child and Daughter and Father and GrandParent and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and Son and Thing)), \nTrue
Brother and Child and Daughter and Father and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and Thing and (hasSex some (Brother and Child and Daughter and Father and GrandParent and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and Son and Thing)) SubClassOf Brother and Child and Daughter and Father and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and Thing and (hasSex some (Brother and Child and Daughter and Father and GrandParent and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and Son and Thing)), \nTrue
Brother and Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and Son and Thing and (hasSex some (Brother and Child and Daughter and Father and GrandParent and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and Son and Thing)) SubClassOf Brother and Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and Son and Thing and (hasSex some (Brother and Child and Daughter and Father and GrandParent and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and Son and Thing)), \nHere
Brother SubClassOf Brother and Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and Son and Thing and (hasSex some (Brother and Child and Daughter and Father and GrandParent and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and Son and Thing)), True
Brother SubClassOf GrandMother, \nFalse
Brother SubClassOf Son, False
Brother SubClassOf Female, False
Brother SubClassOf Father, True
Father SubClassOf Brother, True
Brother SubClassOf Child, True
Child SubClassOf Brother, True
Brother SubClassOf Person, True
Person SubClassOf Brother and Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and Son and Thing and (hasSex some (Brother and Child and Daughter and Father and GrandParent and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and Son and Thing)), True
GrandMother SubClassOf Brother and Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and Son and Thing and (hasSex some (Brother and Child and Daughter and Father and GrandParent and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and Son and Thing)), \nFalse
Father SubClassOf Person, True
Child SubClassOf Person, True
Person SubClassOf Person, True
GrandParent SubClassOf Person, True
Sex SubClassOf Person, True
OffSpring SubClassOf Person, \nTrue
Sibling SubClassOf Person, True
GrandFather SubClassOf Person, \nTrue
Person SubClassOf Brother and Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Thing and (hasSex some (Brother and Child and Daughter and Father and GrandParent and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and Son and Thing)), True
Person SubClassOf Brother and Child and Daughter and Father and Female and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Thing and (hasSex some (Brother and Child and Daughter and Father and GrandParent and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and Son and Thing)), \nTrue
Person SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Thing and (hasSex some (Brother and Child and Daughter and Father and GrandParent and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and Son and Thing)), True
Person SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Thing and (hasSex some (Brother and Child and Daughter and Father and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and Son and Thing)), \nTrue
Person SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Thing and (hasSex some (Brother and Child and Daughter and Father and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Thing)), True
Person SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Thing and (hasSex some (Brother and Child and Daughter and Father and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Thing)), True
Person SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Thing and (hasSex some (Brother and Child and Daughter and Father and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Thing)), True
Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasSex some (Brother and Child and Daughter and Father and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Thing)) SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasSex some (Brother and Child and Daughter and Father and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Thing)), Here are
GrandMother SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasSex some (Brother and Child and Daughter and Father and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Thing)), \nTrue
GrandMother SubClassOf Thing, False
GrandMother SubClassOf Son, False
GrandMother SubClassOf Female, False
GrandMother SubClassOf Father, \nFalse
GrandMother SubClassOf Child, False
GrandMother SubClassOf Parent, \nFalse
GrandMother SubClassOf Daughter, False
GrandMother SubClassOf Man, \nFalse
GrandMother SubClassOf Mother, True
GrandMother SubClassOf GrandParent, True
GrandParent SubClassOf GrandMother, True
GrandMother SubClassOf Sex, False
GrandMother SubClassOf Sister, False
GrandMother SubClassOf OffSpring, False
GrandMother SubClassOf Woman, True
Woman SubClassOf GrandMother, True
GrandMother SubClassOf Male, False
GrandMother SubClassOf Sibling, False
GrandMother SubClassOf GrandFather, False
Parent SubClassOf hasChild some Sister, \nTrue
GrandMother SubClassOf hasChild some Sister, True
GrandMother and (hasChild some Sister) SubClassOf GrandMother and (hasChild some Sister), False
GrandMother SubClassOf GrandMother and Mother and (hasChild some Sister), True
GrandMother SubClassOf GrandMother and GrandParent and Mother and (hasChild some Sister), \nTrue
GrandMother SubClassOf GrandMother and GrandParent and Mother and Woman and (hasChild some Sister), True
GrandMother SubClassOf GrandMother and GrandParent and Mother and Woman and (hasChild some (Mother and Sister)), True
GrandMother SubClassOf GrandMother and GrandParent and Mother and Woman and (hasChild some (GrandParent and Mother and Sister)), True
GrandMother SubClassOf GrandMother and GrandParent and Mother and Woman and (hasChild some (GrandParent and Mother and Sister and Woman)), True
GrandMother and GrandParent and Mother and Woman and Thing and (hasChild some (GrandParent and Mother and Sister and Woman)) SubClassOf GrandMother and GrandParent and Mother and Woman and Thing and (hasChild some (GrandParent and Mother and Sister and Woman)), True
Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (GrandMother and GrandParent and Mother and Sister and Woman)) SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (GrandMother and GrandParent and Mother and Sister and Woman)) and (hasSex some (Brother and Child and Daughter and Father and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Thing)), Here are
GrandMother SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (GrandMother and GrandParent and Mother and Sister and Woman)) and (hasSex some (Brother and Child and Daughter and Father and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing)), True.
Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (GrandMother and GrandParent and Mother and Sister and Woman and Thing)) SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (GrandMother and GrandParent and Mother and Sister and Woman and Thing)) and (hasSex some (Brother and Child and Daughter and Father and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing)), Here are
Sex SubClassOf hasSibling some Man, \nTrue
GrandMother SubClassOf hasSibling some Man, True
GrandMother and (hasSibling some Man) SubClassOf GrandMother and (hasSibling some Man), True
GrandMother SubClassOf GrandMother and Mother and (hasSibling some Man), True
GrandMother SubClassOf GrandMother and GrandParent and Mother and (hasSibling some Man), False
GrandMother SubClassOf GrandMother and Mother and Woman and (hasSibling some Man), True
GrandMother SubClassOf GrandMother and Mother and Woman and (hasSibling some (Man and Mother)), False
GrandMother SubClassOf GrandMother and Mother and Woman and (hasSibling some (GrandParent and Man)), False
GrandMother SubClassOf GrandMother and Mother and Woman and (hasSibling some (Man and Woman)), True
GrandMother and Mother and Woman and Thing and (hasSibling some (Man and Woman)) SubClassOf GrandMother and Mother and Woman and Thing and (hasSibling some (Man and Woman)), True.
Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (GrandMother and GrandParent and Mother and Sister and Woman and Thing)) SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (GrandMother and GrandParent and Mother and Sister and Woman and Thing)) and (hasSex some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Thing)) and (hasSex some (Brother and Child and Daughter and Father and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing)) and (hasSibling some (Man and Woman)), Here are
GrandMother SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (GrandMother and GrandParent and Mother and Sister and Woman and Thing)) and (hasSex some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Thing)) and (hasSex some (Brother and Child and Daughter and Father and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing)) and (hasSibling some (Man and Mother and Woman)), \nHere
GrandMother SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (GrandMother and GrandParent and Mother and Sister and Woman and Thing)) and (hasSex some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Thing)) and (hasSex some (Brother and Child and Daughter and Father and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing)) and (hasSibling some (GrandParent and Man and Woman)), \nHere
GrandMother SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (GrandMother and GrandParent and Mother and Sister and Woman and Thing)) and (hasSex some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing)) and (hasSex some (Brother and Child and Daughter and Father and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing)) and (hasSibling some (Man and Woman)), \nHere
Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (GrandMother and GrandParent and Mother and Sister and Woman and Thing)) SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (GrandMother and GrandParent and Mother and Sister and Woman and Thing)) and (hasSex some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Thing)) and (hasSex some (Brother and Child and Daughter and Father and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing)) and (hasSibling some (GrandMother and Man and Woman)), \nHere
Daughter SubClassOf hasParent some GrandFather, True
GrandMother SubClassOf hasParent some GrandFather, True
GrandMother and (hasParent some GrandFather) SubClassOf GrandMother and (hasParent some GrandFather), True
GrandMother SubClassOf GrandMother and Mother and (hasParent some GrandFather), True
GrandMother SubClassOf GrandMother and GrandParent and Mother and (hasParent some GrandFather), True
GrandMother SubClassOf GrandMother and GrandParent and Mother and Woman and (hasParent some GrandFather), True
GrandMother SubClassOf GrandMother and GrandParent and Mother and Woman and (hasParent some (GrandFather and Mother)), True
GrandMother SubClassOf GrandMother and GrandParent and Mother and Woman and (hasParent some (GrandFather and GrandParent and Mother)), True
GrandMother SubClassOf GrandMother and GrandParent and Mother and Woman and (hasParent some (GrandFather and GrandParent and Mother and Woman)), True
GrandMother and GrandParent and Mother and Woman and Thing and (hasParent some (GrandFather and GrandParent and Mother and Woman)) SubClassOf GrandMother and GrandParent and Mother and Woman and Thing and (hasParent some (GrandFather and GrandParent and Mother and Woman)), True
Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (GrandMother and GrandParent and Mother and Sister and Woman and Thing)) SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (GrandMother and GrandParent and Mother and Sister and Woman and Thing)) and (hasParent some (GrandFather and GrandParent and Mother and Woman)) and (hasSex some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Thing)) and (hasSex some (Brother and Child and Daughter and Father and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing)) and (hasSibling some (GrandMother and Man and Woman)), Here are
GrandMother SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (GrandMother and GrandParent and Mother and Sister and Woman and Thing)) and (hasParent some (GrandFather and GrandParent and Mother and Woman)) and (hasSex some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing)) and (hasSex some (Brother and Child and Daughter and Father and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing)) and (hasSibling some (GrandMother and Man and Woman)), Here are
GrandMother SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (GrandMother and GrandParent and Mother and Sister and Woman and Thing)) and (hasParent some (GrandFather and GrandParent and Mother and Woman)) and (hasSex some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Thing)) and (hasSex some (Brother and Child and Daughter and Father and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing)) and (hasSibling some (GrandMother and Man and Mother and Woman)), \nHere
GrandMother SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (GrandMother and GrandParent and Mother and Sister and Woman and Thing)) and (hasParent some (GrandFather and GrandParent and Mother and Woman)) and (hasSex some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Thing)) and (hasSex some (Brother and Child and Daughter and Father and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing)) and (hasSibling some (GrandMother and GrandParent and Man and Woman)), \nHere
Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (GrandMother and GrandParent and Mother and Sister and Woman and Thing)) SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (GrandMother and GrandParent and Mother and Sister and Woman and Thing)) and (hasParent some (GrandFather and GrandParent and Mother and Woman)) and (hasSex some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Thing)) and (hasSex some (Brother and Child and Daughter and Father and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing)) and (hasSibling some (GrandMother and Man and Woman and Thing)), Here are
Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (GrandParent and Mother and Sister and Woman)) SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (GrandParent and Mother and Sister and Woman)) and (hasSex some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Thing)), \nHere
GrandMother SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (GrandParent and Mother and Sister and Woman)) and (hasSex some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing)), \nTrue
Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (GrandMother and GrandParent and Mother and Sister and Woman)) SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (GrandMother and GrandParent and Mother and Sister and Woman)) and (hasSex some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing)), \nHere
Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (GrandMother and GrandParent and Mother and Sister and Woman)) SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (GrandMother and GrandParent and Mother and Sister and Woman)) and (hasSex some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing)) and (hasSex some (Brother and Child and Daughter and Father and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Thing)) and (hasSibling some (GrandMother and Man and Woman)), \nHere
GrandMother SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (GrandMother and GrandParent and Mother and Sister and Woman)) and (hasSex some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing)) and (hasSex some (Brother and Child and Daughter and Father and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing)) and (hasSibling some (GrandMother and Man and Woman)), \nHere
GrandMother SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (GrandMother and GrandParent and Mother and Sister and Woman)) and (hasSex some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing)) and (hasSex some (Brother and Child and Daughter and Father and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Thing)) and (hasSibling some (GrandMother and Man and Mother and Woman)), \nHere
GrandMother SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (GrandMother and GrandParent and Mother and Sister and Woman)) and (hasSex some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing)) and (hasSex some (Brother and Child and Daughter and Father and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Thing)) and (hasSibling some (GrandMother and GrandParent and Man and Woman)), Here are
Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (GrandMother and GrandParent and Mother and Sister and Woman and Thing)) SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (GrandMother and GrandParent and Mother and Sister and Woman and Thing)) and (hasSex some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing)) and (hasSex some (Brother and Child and Daughter and Father and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Thing)) and (hasSibling some (GrandMother and Man and Woman)), Here are
Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (GrandMother and GrandParent and Mother and Sister and Son and Woman and Thing)) SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (GrandMother and GrandParent and Mother and Sister and Son and Woman and Thing)) and (hasChild some (GrandMother and GrandParent and Mother and Sister and Woman)) and (hasParent some (GrandFather and GrandParent and Mother and Woman)) and (hasSex some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing)) and (hasSex some (Brother and Child and Daughter and Father and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Thing)) and (hasSibling some (GrandMother and Man and Woman)), Okay
GrandMother SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (GrandMother and GrandParent and Mother and Sister and Son and Woman and Thing)) and (hasChild some (GrandMother and GrandParent and Mother and Sister and Woman)) and (hasParent some (GrandFather and GrandParent and Mother and Woman)) and (hasSex some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing)) and (hasSex some (Brother and Child and Daughter and Father and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Thing)) and (hasSibling some (GrandMother and Man and Mother and Woman)), Here are
