Parent and Person SubClassOf Father, \nFalse
Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sister and Son and Woman and Thing SubClassOf Sex, \nThe
Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sister and Son and Woman and Thing SubClassOf Sibling, \nHere
Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and Son and Woman and Thing SubClassOf Brother, \nHere
Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and Son and Woman and Thing SubClassOf Sex, \nTrue
Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and Son and Woman and Thing SubClassOf Sex, \nHere
Child and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and Son and Woman and Thing SubClassOf Sex, \nHere
Child and Daughter and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and Son and Woman and Thing SubClassOf Sex, \nHere
Child and Daughter and Father and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and Son and Woman and Thing SubClassOf Sex, \nHere
Child and Daughter and Father and Female and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and Son and Woman and Thing SubClassOf Sex, \nFalse
Child and Daughter and Father and Female and GrandFather and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and Son and Woman and Thing SubClassOf Sex, \nHere
Child and Daughter and Father and Female and GrandFather and GrandMother and Male and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and Son and Woman and Thing SubClassOf Sex, \nHere
Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and Son and Woman and Thing SubClassOf Sex, \nHere
Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Mother and OffSpring and Parent and Person and Sibling and Sister and Son and Woman and Thing SubClassOf Sex, \nThe
Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and OffSpring and Parent and Person and Sibling and Sister and Son and Woman and Thing SubClassOf Sex, \nHere
Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and Parent and Person and Sibling and Sister and Son and Woman and Thing SubClassOf Sex, \nHere
Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Person and Sibling and Sister and Son and Woman and Thing SubClassOf Sex, \nHere
Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Sibling and Sister and Son and Woman and Thing SubClassOf Sex, \nHere
Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sibling and Son and Woman and Thing SubClassOf Sex, \nHere
Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and Woman and Thing SubClassOf Sex, \nThe
Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and Son and Thing SubClassOf Sex, \nHere
Sibling SubClassOf hasSex some GrandParent, \nFalse
GrandFather and Parent SubClassOf Sibling, \nFalse
GrandParent and Person SubClassOf Brother, \nFalse
Female and Woman SubClassOf Sibling, \nFalse
Person SubClassOf hasSex some OffSpring, \nFalse
GrandMother and Sibling SubClassOf Brother, \nFalse
GrandFather and Sister SubClassOf Sibling, \nFalse
GrandParent SubClassOf hasSibling some OffSpring, \nTrue
GrandMother SubClassOf hasSibling some OffSpring, \nFalse
Thing SubClassOf hasSibling some OffSpring, \nFalse
Son SubClassOf hasSibling some OffSpring, \nFalse
Female SubClassOf hasSibling some OffSpring, \nTrue
GrandMother and (hasSibling some OffSpring) SubClassOf GrandMother and (hasSibling some OffSpring), \nFalse
Parent SubClassOf GrandMother and (hasSibling some OffSpring), \nTrue
Parent SubClassOf GrandMother and Thing and (hasSibling some OffSpring), \nFalse
Parent SubClassOf GrandMother and Son and (hasSibling some OffSpring), \nTrue
Parent SubClassOf Father and GrandMother and Son and (hasSibling some OffSpring), \nTrue
Parent SubClassOf Child and Father and GrandMother and Son and (hasSibling some OffSpring), \nFalse
Parent SubClassOf Father and GrandMother and Person and Son and (hasSibling some OffSpring), \nTrue
Parent SubClassOf Daughter and Father and GrandMother and Person and Son and (hasSibling some OffSpring), \nFalse
Parent SubClassOf Father and GrandMother and GrandParent and Person and Son and (hasSibling some OffSpring), \nFalse
Parent SubClassOf Father and GrandMother and Person and Sister and Son and (hasSibling some OffSpring), \nTrue
Parent SubClassOf Father and GrandMother and Person and Sister and Son and (hasSibling some (OffSpring and Thing)), \nFalse
Parent SubClassOf Father and GrandMother and Person and Sister and Son and (hasSibling some (OffSpring and Son)), \nTrue
Parent SubClassOf Father and GrandMother and Person and Sister and Son and (hasSibling some (Father and OffSpring and Son)), \nTrue
Parent SubClassOf Father and GrandMother and Person and Sister and Son and (hasSibling some (Child and Father and OffSpring and Son)), \nFalse
Parent SubClassOf Father and GrandMother and Person and Sister and Son and (hasSibling some (Father and OffSpring and Person and Son)), \nFalse
Parent SubClassOf Father and GrandMother and Person and Sister and Son and (hasSibling some (Daughter and Father and OffSpring and Son)), \nTrue
Parent SubClassOf Father and GrandMother and Person and Sister and Son and (hasSibling some (Daughter and Father and GrandParent and OffSpring and Son)), \nTrue
Parent SubClassOf Father and GrandMother and Person and Sister and Son and (hasSibling some (Daughter and Father and GrandParent and OffSpring and Sister and Son)), \nTrue
Father and GrandMother and Person and Sister and Son and Thing and (hasSibling some (Daughter and Father and GrandParent and OffSpring and Sister and Son)) SubClassOf Father and GrandMother and Person and Sister and Son and Thing and (hasSibling some (Daughter and Father and GrandParent and OffSpring and Sister and Son)), \nTrue
Father and Female and GrandMother and Person and Sister and Son and Thing and (hasSibling some (Daughter and Father and GrandParent and OffSpring and Sister and Son)) SubClassOf Father and Female and GrandMother and Person and Sister and Son and Thing and (hasSibling some (Daughter and Father and GrandParent and OffSpring and Sister and Son)), \nFalse
Parent SubClassOf Child and Father and Female and GrandMother and Person and Sister and Son and Thing and (hasSibling some (Daughter and Father and GrandParent and OffSpring and Sister and Son)), \nTrue
Parent SubClassOf Child and Daughter and Father and Female and GrandMother and Person and Sister and Son and Thing and (hasSibling some (Daughter and Father and GrandParent and OffSpring and Sister and Son)), \nTrue
Parent SubClassOf Child and Daughter and Father and Female and GrandMother and GrandParent and Person and Sister and Son and Thing and (hasSibling some (Daughter and Father and GrandParent and OffSpring and Sister and Son)), \nTrue
Parent SubClassOf Child and Daughter and Father and Female and GrandMother and GrandParent and Person and Sister and Son and Thing and (hasSibling some (Daughter and Father and GrandParent and OffSpring and Sister and Son and Thing)), \nHere
Parent SubClassOf Child and Daughter and Father and Female and GrandMother and GrandParent and Person and Sister and Son and Thing and (hasSibling some (Child and Daughter and Father and GrandParent and OffSpring and Sister and Son)), \nFalse
Parent SubClassOf Child and Daughter and Father and Female and GrandMother and GrandParent and Person and Sister and Son and Thing and (hasSibling some (Daughter and Father and GrandParent and OffSpring and Person and Sister and Son)), \nTrue
Child and Daughter and Father and Female and GrandMother and GrandParent and Parent and Person and Sister and Son and Thing and (hasSibling some (Daughter and Father and GrandParent and OffSpring and Person and Sister and Son)) SubClassOf Child and Daughter and Father and Female and GrandMother and GrandParent and Parent and Person and Sister and Son and Thing and (hasSibling some (Daughter and Father and GrandParent and OffSpring and Person and Sister and Son)), \nThe
Man and Person SubClassOf Sibling, \nFalse
GrandMother and Sister SubClassOf Sibling, \nFalse
Mother and Woman SubClassOf Sex, \nFalse
Father and Man SubClassOf Brother, \nFalse
Person and Sex SubClassOf Brother, \nFalse
Child and OffSpring SubClassOf Sex, \nFalse
GrandParent and Male SubClassOf Brother, \nFalse
Sibling SubClassOf hasSex some Mother, False
Daughter and Sister SubClassOf Sibling, \nFalse
hasChild some Male SubClassOf Sex, \nFalse
GrandMother SubClassOf hasSex some Female, \nTrue
GrandMother and (hasSex some Female) SubClassOf GrandMother and (hasSex some Female), \nFalse
Thing SubClassOf GrandMother and (hasSex some Female), \nFalse
Female SubClassOf GrandMother and (hasSex some Female), \nTrue
Parent SubClassOf GrandMother and (hasSex some Female), \nFalse
Sister SubClassOf Female, \nFalse
Sister SubClassOf GrandMother and (hasSex some Female), \nFalse
Female SubClassOf GrandMother and Parent and (hasSex some Female), \nFalse
Female SubClassOf GrandMother and Mother and (hasSex some Female), \nTrue
Female SubClassOf GrandMother and Mother and Sister and (hasSex some Female), \nFalse
Female SubClassOf GrandMother and Mother and (hasSex some (Female and Parent)), \nTrue
Female SubClassOf GrandMother and Mother and (hasSex some (Female and Mother and Parent)), \nTrue
Female SubClassOf GrandMother and Mother and (hasSex some (Female and Mother and Parent and Sister)), \nFalse
GrandMother and Mother and Thing and (hasSex some (Female and Mother and Parent)) SubClassOf GrandMother and Mother and Thing and (hasSex some (Female and Mother and Parent)), \nTrue
GrandMother and Mother and Sister and Son and Thing and (hasSex some (Female and Mother and Parent)) SubClassOf GrandMother and Mother and Sister and Son and Thing and (hasSex some (Female and Mother and Parent)), \nTrue
Female SubClassOf GrandMother and Mother and Parent and Sister and Son and Thing and (hasSex some (Female and Mother and Parent)), \nTrue
Female SubClassOf GrandMother and Mother and Parent and Sister and Son and Thing and (hasSex some (Female and Mother and Parent and Sister)), \nTrue
Female and GrandMother and Mother and Parent and Sister and Son and Thing and (hasSex some (Female and Mother and Parent and Sister)) SubClassOf Female and GrandMother and Mother and Parent and Sister and Son and Thing and (hasSex some (Female and Mother and Parent and Sister)), \nTrue
Daughter SubClassOf hasParent some Father, True
GrandMother SubClassOf hasParent some Father, True
GrandMother and (hasParent some Father) SubClassOf GrandMother and (hasParent some Father), \nThe
Thing SubClassOf GrandMother and (hasParent some Father), \nTrue
Person SubClassOf GrandMother and (hasParent some Father), \nTrue
Son SubClassOf GrandMother and (hasParent some Father), \nTrue
Daughter SubClassOf GrandMother and (hasParent some Father), \nTrue
GrandMother SubClassOf GrandMother and (hasParent some Father), \nFalse
Thing SubClassOf Child and GrandMother and (hasParent some Father), \nFalse
Thing SubClassOf GrandMother and Person and (hasParent some Father), \nTrue
Thing SubClassOf GrandMother and Parent and Person and (hasParent some Father), \nTrue
Thing SubClassOf GrandMother and Man and Parent and Person and (hasParent some Father), \nFalse
Thing SubClassOf GrandMother and Mother and Parent and Person and (hasParent some Father), \nTrue
Thing SubClassOf GrandMother and GrandParent and Mother and Parent and Person and (hasParent some Father), \nTrue
Thing SubClassOf GrandMother and GrandParent and Mother and Parent and Person and (hasParent some (Father and Thing)), \nFalse
Thing SubClassOf GrandMother and GrandParent and Mother and Parent and Person and (hasParent some (Child and Father)), \nTrue
Thing SubClassOf GrandMother and GrandParent and Mother and Parent and Person and (hasParent some (Child and Father and Person)), \nFalse
Thing SubClassOf GrandMother and GrandParent and Mother and Parent and Person and (hasParent some (Child and Father and Parent)), \nTrue
Thing SubClassOf GrandMother and GrandParent and Mother and Parent and Person and (hasParent some (Child and Father and Man and Parent)), \nFalse
Thing SubClassOf GrandMother and GrandParent and Mother and Parent and Person and (hasParent some (Child and Father and Mother and Parent)), \nFalse
Thing SubClassOf GrandMother and GrandParent and Mother and Parent and Person and (hasParent some (Child and Father and GrandParent and Parent)), \nFalse
GrandMother and GrandParent and Mother and Parent and Person and Thing and (hasParent some (Child and Father and Parent)) SubClassOf GrandMother and GrandParent and Mother and Parent and Person and Thing and (hasParent some (Child and Father and Parent)), \nTrue
GrandMother and GrandParent and Man and Mother and Parent and Person and Son and Thing and (hasParent some (Child and Father and Parent)) SubClassOf GrandMother and GrandParent and Man and Mother and Parent and Person and Son and Thing and (hasParent some (Child and Father and Parent)), \nTrue
Thing SubClassOf Child and GrandMother and GrandParent and Man and Mother and Parent and Person and Son and Thing and (hasParent some (Child and Father and Parent)), \nFalse
Thing SubClassOf GrandMother and GrandParent and Man and Mother and Parent and Person and Son and Thing and (hasParent some (Child and Father and Parent and Thing)), \nFalse
Thing SubClassOf GrandMother and GrandParent and Man and Mother and Parent and Person and Son and Thing and (hasParent some (Child and Father and Parent and Person)), \nTrue
Thing SubClassOf GrandMother and GrandParent and Man and Mother and Parent and Person and Son and Thing and (hasParent some (Child and Father and Man and Parent and Person)), \nFalse
Thing SubClassOf GrandMother and GrandParent and Man and Mother and Parent and Person and Son and Thing and (hasParent some (Child and Father and Mother and Parent and Person)), \nFalse
Thing SubClassOf GrandMother and GrandParent and Man and Mother and Parent and Person and Son and Thing and (hasParent some (Child and Father and GrandParent and Parent and Person)), \nTrue
Female and GrandMother and GrandParent and Man and Mother and Parent and Person and Son and Thing and (hasParent some (Child and Father and GrandParent and Parent and Person)) SubClassOf Female and GrandMother and GrandParent and Man and Mother and Parent and Person and Son and Thing and (hasParent some (Child and Father and GrandParent and Parent and Person)), \nFalse
Person SubClassOf Female and GrandMother and GrandParent and Man and Mother and Parent and Person and Son and Thing and (hasParent some (Child and Father and GrandParent and Parent and Person)), \nFalse
Man SubClassOf Female and GrandMother and GrandParent and Man and Mother and Parent and Person and Son and Thing and (hasParent some (Child and Father and GrandParent and Parent and Person)), \nFalse
Daughter and Female SubClassOf Sex, \nFalse
Female and Sister SubClassOf Brother, \nFalse
hasChild some Sister SubClassOf Brother, \nFalse
Daughter and Son SubClassOf Sex, \nFalse
hasParent some Son SubClassOf Sibling, \nFalse
Child and GrandMother SubClassOf Brother, \nFalse
Father and Parent SubClassOf Brother, \nFalse
Sex SubClassOf hasSex some Brother, \nFalse
Daughter and Male SubClassOf Sex, \nFalse
Female and GrandFather SubClassOf Brother, \nFalse
GrandMother and Man SubClassOf Sibling, \nFalse
Father and Person SubClassOf Sibling, \nFalse
Child SubClassOf Sex, \nFalse
GrandParent SubClassOf hasSex some Brother, \nFalse
Person and Woman SubClassOf Brother, \nFalse
Sex SubClassOf hasChild some Sex, \nFalse
Daughter and Man SubClassOf Sex, \nFalse
Daughter SubClassOf hasParent some Sex, \nTrue
GrandMother SubClassOf hasParent some Sex, \nFalse
Thing SubClassOf hasParent some Sex, \nFalse
Son SubClassOf hasParent some Sex, False
Female SubClassOf hasParent some Sex, True
GrandMother and (hasParent some Sex) SubClassOf GrandMother and (hasParent some Sex), \nFalse
Parent SubClassOf GrandMother and (hasParent some Sex), \nTrue
Brother SubClassOf Sex, \nFalse
Sister SubClassOf Sex, False
OffSpring SubClassOf Sex, False
Woman SubClassOf Sex, \nFalse
Male SubClassOf Sex and Thing, \nTrue
Male SubClassOf Sex and Son and Thing, \nFalse
Male SubClassOf Father and Sex and Thing, \nFalse
Male SubClassOf Parent and Sex and Thing, \nFalse
Male SubClassOf Man and Sex and Thing, \nFalse
Male SubClassOf Mother and Sex and Thing, \nFalse
Male SubClassOf Father and Man and Sex and Son and Thing, \nFalse
Male SubClassOf Man and Parent and Sex and Son and Thing, \nFalse
Male SubClassOf Man and Mother and Sex and Son and Thing, \nFalse
Father and Sister SubClassOf Sibling, \nFalse
Sibling SubClassOf hasChild some Brother, \nFalse
GrandParent and Mother SubClassOf Sibling, \nFalse
Child and Son SubClassOf Brother, \nFalse
Child and Daughter SubClassOf Brother, \nFalse
Man and Sister SubClassOf Sibling, \nFalse
Sister SubClassOf Brother, \nFalse
Father and GrandFather SubClassOf Sibling, \nFalse
Male and Person SubClassOf Sibling, \nFalse
Daughter SubClassOf hasSex some Sibling, \nFalse
Mother SubClassOf hasChild some Brother, \nFalse
GrandFather SubClassOf Brother, \nFalse
hasParent some Son SubClassOf Brother, \nFalse
Brother and OffSpring SubClassOf Sibling, \nFalse
Child SubClassOf hasParent some Sibling, \nFalse
Daughter and Person SubClassOf Brother, \nFalse
Person SubClassOf hasChild some Brother, \nFalse
OffSpring and Sibling SubClassOf Brother, \nFalse
GrandMother and Person SubClassOf Brother, False
Father SubClassOf hasSibling some Brother, \nFalse
GrandParent and Mother SubClassOf Brother, \nFalse
Man and Sister SubClassOf Brother, \nFalse
Mother SubClassOf hasParent some Sibling, \nFalse
Child and Male SubClassOf Brother, \nFalse
Son and Woman SubClassOf Brother, \nFalse
hasChild some Male SubClassOf Sibling, \nFalse
hasParent some Sibling SubClassOf Sibling, \nFalse
hasSibling some Female SubClassOf Sibling, \nTrue
hasSibling some Female SubClassOf Brother, \nFalse
Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSibling some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)), \nHere
Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing SubClassOf Brother, \nHere
Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing SubClassOf Sibling, \nHere
Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSibling some Child) and (hasSibling some (Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSibling some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)), \nHere
Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSibling some Child) and (hasSibling some (Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Sibling, \nFalse
Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSibling some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSibling some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)), \nFalse
Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSibling some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Sibling, \nTrue
Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSibling some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Sibling, \nTrue
Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSibling some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Sibling, \nTrue
Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSibling some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Sibling, \nTrue
GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSibling some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Sibling, \nTrue
GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSibling some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Sibling, \nTrue
GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSibling some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Sibling, \nFalse
GrandMother and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSibling some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Sibling, \nTrue
GrandMother and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSibling some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Sibling, \nFalse
GrandMother and Male and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSibling some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Sibling, \nFalse
GrandMother and Male and Man and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSibling some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Sibling, \nTrue
GrandMother and Male and Man and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSibling some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Sibling, \nFalse
GrandMother and Male and Man and OffSpring and Person and Sex and Sister and Son and Woman and Thing and (hasSibling some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Sibling, \nTrue
GrandMother and Male and Man and OffSpring and Sex and Sister and Son and Woman and Thing and (hasSibling some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Sibling, \nFalse
GrandMother and Male and Man and OffSpring and Person and Sister and Son and Woman and Thing and (hasSibling some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Sibling, \nTrue
GrandMother and Male and Man and OffSpring and Person and Son and Woman and Thing and (hasSibling some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Sibling, \nFalse
GrandMother and Male and Man and OffSpring and Person and Sister and Woman and Thing and (hasSibling some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Sibling, \nFalse
GrandMother and Male and Man and OffSpring and Person and Sister and Son and Thing and (hasSibling some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Sibling, \nFalse
GrandMother and Male and Man and OffSpring and Person and Sister and Son and Woman and Thing and (hasSibling some (Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Sibling, \nTrue
GrandMother and Male and Man and OffSpring and Person and Sister and Son and Woman and Thing and (hasSibling some (Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Sibling, \nTrue
GrandMother and Male and Man and OffSpring and Person and Sister and Son and Woman and Thing and (hasSibling some (Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Sibling, \nFalse
GrandMother and Male and Man and OffSpring and Person and Sister and Son and Woman and Thing and (hasSibling some (Father and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Sibling, \nFalse
GrandMother and Male and Man and OffSpring and Person and Sister and Son and Woman and Thing and (hasSibling some (Father and Female and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Sibling, \nFalse
GrandMother and Male and Man and OffSpring and Person and Sister and Son and Woman and Thing and (hasSibling some (Father and Female and GrandFather and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Sibling, \nTrue
GrandMother and Male and Man and OffSpring and Person and Sister and Son and Woman and Thing and (hasSibling some (Father and Female and GrandFather and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Sibling, \nTrue
GrandMother and Male and Man and OffSpring and Person and Sister and Son and Woman and Thing and (hasSibling some (Father and Female and GrandFather and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Sibling, \nTrue
GrandMother and Male and Man and OffSpring and Person and Sister and Son and Woman and Thing and (hasSibling some (Father and Female and GrandFather and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Sibling, \nFalse
GrandMother and Male and Man and OffSpring and Person and Sister and Son and Woman and Thing and (hasSibling some (Father and Female and GrandFather and Man and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Sibling, \nTrue
GrandMother and Male and Man and OffSpring and Person and Sister and Son and Woman and Thing and (hasSibling some (Father and Female and GrandFather and Man and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Sibling, \nTrue
GrandMother and Male and Man and OffSpring and Person and Sister and Son and Woman and Thing and (hasSibling some (Father and Female and GrandFather and Man and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Sibling, \nFalse
GrandMother and Male and Man and OffSpring and Person and Sister and Son and Woman and Thing and (hasSibling some (Father and Female and GrandFather and Man and Parent and Sex and Sister and Son and Woman and Thing)) SubClassOf Sibling, \nFalse
GrandMother and Male and Man and OffSpring and Person and Sister and Son and Woman and Thing and (hasSibling some (Father and Female and GrandFather and Man and Parent and Person and Sister and Son and Woman and Thing)) SubClassOf Sibling, \nFalse
GrandMother and Male and Man and OffSpring and Person and Sister and Son and Woman and Thing and (hasSibling some (Father and Female and GrandFather and Man and Parent and Person and Sex and Son and Woman and Thing)) SubClassOf Sibling, \nTrue
