BallGame and FootballTeam SubClassOf Player, \nTrue
Can Player be considered a subcategory of 'FootballTeam that is also Team that is also Thing'?, \nTrue
Can Player be considered a subcategory of 'Manager'?, \nFalse
Can Player be considered a subcategory of 'Game'?, \nFalse
Can Player be considered a subcategory of 'FootballPlayer'?, \nTrue
Can Player be considered a subcategory of 'FootballPlayer that is also FootballTeam that is also Team that is also Thing'?, \nFalse
Can Player be considered a subcategory of 'Football'?, \nFalse
Can Player be considered a subcategory of 'Person'?, \nFalse
Can Player be considered a subcategory of 'BallGame'?, \nTrue
Can Player be considered a subcategory of 'BallGame that is also FootballTeam that is also Team that is also Thing'?, \nFalse
Can FootballTeam that is also Team be considered a subcategory of 'Person'?, \nFalse
Can something that plays_for some Football be considered a subcategory of 'Football'?, \nTrue
Can something that plays_for some Football be considered a subcategory of 'Manager'?, \nFalse
Can something that plays_for some Football be considered a subcategory of 'Team'?, \nTrue
Can Thing be considered a subcategory of 'Thing that is also something that (plays_for some (Football that is also Thing))'?, \nTrue
Can Football that is also Thing be considered a subcategory of 'Manager'?, \nFalse
Can Football that is also Thing be considered a subcategory of 'Team'?, \nFalse
Can Football that is also Thing be considered a subcategory of 'Player'?, \nFalse
Can Football that is also Thing be considered a subcategory of 'FootballTeam'?, \nFalse
Can Football that is also Thing be considered a subcategory of 'Game'?, \nTrue
Can FootballPlayer be considered a subcategory of 'something that managed_by some Player'?, \nTrue
Can Thing be considered a subcategory of 'something that managed_by some Player'?, \nTrue
Can Thing that is also something that (managed_by some Player) be considered a subcategory of 'Thing that is also something that (managed_by some Player)'?, \nTrue
Can Football be considered a subcategory of 'Player'?, \nFalse
Can Person be considered a subcategory of 'Player'?, \nFalse
Can Thing that is also something that (managed_by some (Player that is also Thing)) be considered a subcategory of 'Thing that is also something that (managed_by some (Player that is also Thing))'?, \nTrue
Can Thing be considered a subcategory of 'Player that is also Thing'?, \nFalse
Can Manager be considered a subcategory of 'Player that is also Thing'?, \nFalse
Can Team be considered a subcategory of 'Player that is also Thing'?, \nFalse
Can FootballTeam be considered a subcategory of 'Player that is also Thing'?, \nFalse
Can Game be considered a subcategory of 'Player that is also Thing'?, \nFalse
Can Football be considered a subcategory of 'Player that is also Thing'?, \nFalse
Can Person be considered a subcategory of 'Player that is also Thing'?, \nFalse
Can BallGame be considered a subcategory of 'Player that is also Thing'?, \nFalse
Can Thing that is also something that (managed_by some (Player that is also Team that is also Thing)) be considered a subcategory of 'Thing that is also something that (managed_by some (Player that is also Team that is also Thing))'?, \nTrue
Can Thing be considered a subcategory of 'Player that is also Team that is also Thing'?, \nFalse
Can Manager be considered a subcategory of 'Player that is also Team that is also Thing'?, \nFalse
Can Team be considered a subcategory of 'Player that is also Team that is also Thing'?, \nFalse
Can FootballTeam be considered a subcategory of 'Player that is also Team that is also Thing'?, \nFalse
Can Game be considered a subcategory of 'Player that is also Team that is also Thing'?, \nFalse
Can Football be considered a subcategory of 'Player that is also Team that is also Thing'?, \nFalse
Can Person be considered a subcategory of 'Player that is also Team that is also Thing'?, \nFalse
Can BallGame be considered a subcategory of 'Player that is also Team that is also Thing'?, \nFalse
Can Thing that is also something that (managed_by some (FootballTeam that is also Player that is also Team that is also Thing)) be considered a subcategory of 'Thing that is also something that (managed_by some (FootballTeam that is also Player that is also Team that is also Thing))'?, \nTrue
Can Thing be considered a subcategory of 'FootballTeam that is also Player that is also Team that is also Thing'?, \nFalse
Can Manager be considered a subcategory of 'FootballTeam that is also Player that is also Team that is also Thing'?, \nFalse
Can Team be considered a subcategory of 'FootballTeam that is also Player that is also Team that is also Thing'?, \nFalse
Can FootballTeam be considered a subcategory of 'FootballTeam that is also Player that is also Team that is also Thing'?, \nFalse
Can Game be considered a subcategory of 'FootballTeam that is also Player that is also Team that is also Thing'?, \nFalse
Can Football be considered a subcategory of 'FootballTeam that is also Player that is also Team that is also Thing'?, \nFalse
Can Person be considered a subcategory of 'FootballTeam that is also Player that is also Team that is also Thing'?, \nFalse
Can BallGame be considered a subcategory of 'FootballTeam that is also Player that is also Team that is also Thing'?, \nFalse
Can Football that is also Game be considered a subcategory of 'Manager'?, \nFalse
Can FootballTeam that is also Player be considered a subcategory of 'Manager'?, \nFalse
Can something that managed_by some Person be considered a subcategory of 'FootballTeam'?, \nTrue
Can something that managed_by some Person be considered a subcategory of 'Manager'?, \nFalse
Can something that managed_by some Person be considered a subcategory of 'Team'?, \nFalse
Can something that managed_by some Person be considered a subcategory of 'Player'?, \nFalse
Can Person be considered a subcategory of 'FootballTeam'?, \nFalse
Can Thing be considered a subcategory of 'Thing that is also something that (managed_by some (Person that is also Thing))'?, \nTrue
Can Person that is also Thing be considered a subcategory of 'Manager'?, \nFalse
Can Person that is also Thing be considered a subcategory of 'Team'?, \nFalse
Can Person that is also Thing be considered a subcategory of 'Player'?, \nFalse
Can Person that is also Thing be considered a subcategory of 'FootballTeam'?, \nFalse
Can Person that is also Thing be considered a subcategory of 'Game'?, \nFalse
Can Person that is also Thing be considered a subcategory of 'FootballPlayer'?, \nFalse
Can Person that is also Thing be considered a subcategory of 'Football'?, \nFalse
Can Person that is also Thing be considered a subcategory of 'BallGame'?, \nFalse
Can Thing that is also something that (managed_by some Person) that is also something that (managed_by some Thing) be considered a subcategory of 'Thing that is also something that (managed_by some (Person that is also Thing))'?, \nTrue
Can Thing that is also something that (managed_by some (Person that is also Thing)) be considered a subcategory of 'Thing that is also something that (managed_by some (Person that is also Thing))'?, \nTrue
Can Thing that is also something that (managed_by some Thing) be considered a subcategory of 'FootballTeam'?, \nFalse
Can something that managed_by some Team be considered a subcategory of 'Player'?, \nFalse
Can Player that is also Team be considered a subcategory of 'Person'?, \nFalse
Can something that plays some Football be considered a subcategory of 'FootballPlayer'?, \nFalse
Can Game be considered a subcategory of 'something that managed_by some FootballPlayer'?, \nFalse
Can something that managed_by some Team be considered a subcategory of 'FootballTeam'?, \nFalse
Can BallGame that is also Football be considered a subcategory of 'Team'?, \nFalse
Can Player be considered a subcategory of 'something that managed_by some FootballPlayer'?, \nTrue
Can Player be considered a subcategory of 'Thing'?, \nFalse
Can Player be considered a subcategory of 'FootballTeam'?, \nFalse
Can Player be considered a subcategory of 'BallGame that is also FootballPlayer'?, \nFalse
Can Player be considered a subcategory of 'BallGame that is also FootballPlayer that is also FootballTeam that is also Team that is also Thing'?, \nFalse
Can Player be considered a subcategory of 'something that plays some Football'?, \nFalse
Can Person be considered a subcategory of 'something that plays some BallGame'?, \nFalse
Can Football be considered a subcategory of 'something that plays some Person'?, \nFalse
Can something that plays some Player be considered a subcategory of 'Person'?, \nFalse
Can Game be considered a subcategory of 'something that plays some Football'?, \nFalse
Can Manager be considered a subcategory of 'something that plays some BallGame'?, \nFalse
Can FootballPlayer that is also Person be considered a subcategory of 'Manager'?, \nFalse
Can Football that is also Team be considered a subcategory of 'Player'?, \nFalse
Can Football be considered a subcategory of 'something that plays some FootballPlayer'?, \nFalse
Can Football that is also Manager be considered a subcategory of 'Person'?, \nFalse
Can Football that is also Player be considered a subcategory of 'Manager'?, \nFalse
Can BallGame be considered a subcategory of 'something that plays some BallGame'?, \nTrue
Can BallGame be considered a subcategory of 'FootballPlayer'?, \nFalse
Can BallGame be considered a subcategory of 'Person'?, \nFalse
Can Thing be considered a subcategory of 'something that plays some BallGame'?, \nTrue
Can Thing that is also something that (plays some BallGame) be considered a subcategory of 'Thing that is also something that (plays some BallGame)'?, \nTrue
Can Team that is also Thing that is also something that (plays some BallGame) be considered a subcategory of 'Team that is also Thing that is also something that (plays some BallGame)'?, \nTrue
Can FootballTeam that is also Team that is also Thing that is also something that (managed_by some (FootballTeam that is also Player that is also Team that is also Thing)) be considered a subcategory of 'FootballTeam that is also Team that is also Thing that is also something that (managed_by some (FootballTeam that is also Player that is also Team that is also Thing)) that is also something that (plays some BallGame)'?, \nFalse
Can FootballTeam that is also Game that is also Team that is also Thing that is also something that (managed_by some (FootballTeam that is also Player that is also Team that is also Thing)) be considered a subcategory of 'FootballTeam that is also Game that is also Team that is also Thing that is also something that (managed_by some (FootballTeam that is also Player that is also Team that is also Thing)) that is also something that (plays some BallGame)'?, \nFalse
Can something that managed_by some FootballPlayer be considered a subcategory of 'Person'?, \nTrue
Can something that managed_by some FootballPlayer be considered a subcategory of 'Manager'?, \nFalse
Can something that managed_by some FootballPlayer be considered a subcategory of 'Player'?, \nFalse
Can something that managed_by some FootballPlayer be considered a subcategory of 'FootballPlayer'?, \nFalse
Can BallGame that is also Football that is also FootballTeam that is also Game that is also Team that is also Thing be considered a subcategory of 'BallGame that is also Football that is also FootballTeam that is also Game that is also Team that is also Thing that is also something that (managed_by some (BallGame that is also Football that is also FootballPlayer that is also FootballTeam that is also Game that is also Person that is also Player that is also Team that is also Thing))'?, \nFalse
Can BallGame that is also Football that is also FootballTeam that is also Game that is also Team that is also Thing be considered a subcategory of 'Manager'?, \nFalse
Can BallGame that is also Football that is also FootballTeam that is also Game that is also Team that is also Thing be considered a subcategory of 'Player'?, \nFalse
Can BallGame that is also Football that is also FootballTeam that is also Game that is also Team that is also Thing be considered a subcategory of 'FootballPlayer'?, \nFalse
Can BallGame that is also Football that is also FootballTeam that is also Game that is also Team that is also Thing be considered a subcategory of 'Person'?, \nFalse
Can BallGame that is also Football that is also FootballPlayer that is also FootballTeam that is also Game that is also Person that is also Player that is also Team that is also Thing be considered a subcategory of 'Manager'?, \nFalse
Can BallGame that is also Football that is also FootballTeam that is also Game that is also Team that is also Thing that is also something that (managed_by some BallGame) that is also something that (managed_by some (Football that is also FootballPlayer that is also FootballTeam that is also Game that is also Person that is also Player that is also Team that is also Thing)) be considered a subcategory of 'BallGame that is also Football that is also FootballTeam that is also Game that is also Team that is also Thing that is also something that (managed_by some (BallGame that is also Football that is also FootballPlayer that is also FootballTeam that is also Game that is also Person that is also Player that is also Team that is also Thing))'?, \nTrue
Can BallGame that is also Football that is also FootballTeam that is also Game that is also Team that is also Thing that is also something that (managed_by some (BallGame that is also Football that is also FootballPlayer that is also FootballTeam that is also Game that is also Person that is also Player that is also Team that is also Thing)) be considered a subcategory of 'BallGame that is also Football that is also FootballTeam that is also Game that is also Team that is also Thing that is also something that (managed_by some (BallGame that is also Football that is also FootballPlayer that is also FootballTeam that is also Game that is also Person that is also Player that is also Team that is also Thing))'?, \nFalse
Can BallGame that is also Football that is also FootballTeam that is also Game that is also Team that is also Thing that is also something that (managed_by some (BallGame that is also Football that is also FootballPlayer that is also FootballTeam that is also Game that is also Person that is also Player that is also Team that is also Thing)) be considered a subcategory of 'Person'?, \nFalse
Can Football that is also FootballTeam that is also Game that is also Team that is also Thing that is also something that (managed_by some (BallGame that is also Football that is also FootballPlayer that is also FootballTeam that is also Game that is also Person that is also Player that is also Team that is also Thing)) be considered a subcategory of 'Person'?, \nFalse
Can BallGame that is also FootballTeam that is also Game that is also Team that is also Thing that is also something that (managed_by some (BallGame that is also Football that is also FootballPlayer that is also FootballTeam that is also Game that is also Person that is also Player that is also Team that is also Thing)) be considered a subcategory of 'Person'?, \nFalse
Can BallGame that is also Football that is also Game that is also Team that is also Thing that is also something that (managed_by some (BallGame that is also Football that is also FootballPlayer that is also FootballTeam that is also Game that is also Person that is also Player that is also Team that is also Thing)) be considered a subcategory of 'Person'?, \nFalse
Can BallGame that is also Football that is also FootballTeam that is also Team that is also Thing that is also something that (managed_by some (BallGame that is also Football that is also FootballPlayer that is also FootballTeam that is also Game that is also Person that is also Player that is also Team that is also Thing)) be considered a subcategory of 'Person'?, \nTrue
Can BallGame that is also Football that is also FootballTeam that is also Thing that is also something that (managed_by some (BallGame that is also Football that is also FootballPlayer that is also FootballTeam that is also Game that is also Person that is also Player that is also Team that is also Thing)) be considered a subcategory of 'Person'?, \nFalse
Can BallGame that is also Football that is also FootballTeam that is also Team that is also Thing that is also something that (managed_by some (Football that is also FootballPlayer that is also FootballTeam that is also Game that is also Person that is also Player that is also Team that is also Thing)) be considered a subcategory of 'Person'?, \nFalse
Can BallGame that is also Football that is also FootballTeam that is also Team that is also Thing that is also something that (managed_by some (BallGame that is also FootballPlayer that is also FootballTeam that is also Game that is also Person that is also Player that is also Team that is also Thing)) be considered a subcategory of 'Person'?, \nTrue
Can BallGame that is also Football that is also FootballTeam that is also Team that is also Thing that is also something that (managed_by some (BallGame that is also FootballTeam that is also Game that is also Person that is also Player that is also Team that is also Thing)) be considered a subcategory of 'Person'?, \nFalse
Can BallGame that is also Football that is also FootballTeam that is also Team that is also Thing that is also something that (managed_by some (BallGame that is also FootballPlayer that is also Game that is also Person that is also Player that is also Team that is also Thing)) be considered a subcategory of 'Person'?, \nFalse
Can BallGame that is also Football that is also FootballTeam that is also Team that is also Thing that is also something that (managed_by some (BallGame that is also FootballPlayer that is also FootballTeam that is also Person that is also Player that is also Team that is also Thing)) be considered a subcategory of 'Person'?, \nFalse
Can BallGame that is also Football that is also FootballTeam that is also Team that is also Thing that is also something that (managed_by some (BallGame that is also FootballPlayer that is also FootballTeam that is also Game that is also Player that is also Team that is also Thing)) be considered a subcategory of 'Person'?, \nFalse
Can BallGame that is also Football that is also FootballTeam that is also Team that is also Thing that is also something that (managed_by some (BallGame that is also FootballPlayer that is also FootballTeam that is also Game that is also Person that is also Team that is also Thing)) be considered a subcategory of 'Person'?, \nFalse
Can BallGame that is also Football that is also FootballTeam that is also Team that is also Thing that is also something that (managed_by some (BallGame that is also FootballPlayer that is also FootballTeam that is also Game that is also Person that is also Player that is also Thing)) be considered a subcategory of 'Person'?, \nFalse
Can Football that is also FootballTeam be considered a subcategory of 'FootballPlayer'?, \nFalse
Can BallGame be considered a subcategory of 'something that plays some Manager'?, \nFalse
Can something that managed_by some Game be considered a subcategory of 'Manager'?, \nFalse
Can something that plays some Football be considered a subcategory of 'Player'?, \nFalse
Can Person be considered a subcategory of 'something that plays some FootballPlayer'?, \nFalse
Can Game that is also Manager be considered a subcategory of 'Player'?, \nFalse
Can Person that is also Team be considered a subcategory of 'Player'?, \nFalse
Can something that plays_for some Game be considered a subcategory of 'FootballPlayer'?, \nFalse
Can Player be considered a subcategory of 'something that plays some FootballPlayer'?, \nFalse
Can Person be considered a subcategory of 'something that plays some Manager'?, \nFalse
Can something that managed_by some Player be considered a subcategory of 'FootballPlayer'?, \nFalse
Can FootballTeam be considered a subcategory of 'something that plays some Manager'?, \nTrue
Can Thing be considered a subcategory of 'something that plays some Manager'?, \nFalse
Can Manager be considered a subcategory of 'something that plays some Manager'?, \nFalse
Can Team be considered a subcategory of 'something that plays some Manager'?, \nFalse
Can Player be considered a subcategory of 'something that plays some Manager'?, \nTrue
Can Thing that is also something that (plays some Manager) be considered a subcategory of 'Thing that is also something that (plays some Manager)'?, \nTrue
Can Football be considered a subcategory of 'Manager'?, \nFalse
Can Person be considered a subcategory of 'Manager'?, \nFalse
Can Player be considered a subcategory of 'FootballPlayer that is also Thing that is also something that (plays some Manager)'?, \nFalse
Can Player be considered a subcategory of 'BallGame that is also Thing that is also something that (plays some Manager)'?, \nFalse
Can Player be considered a subcategory of 'Player'?, \nFalse
Can Player be considered a subcategory of 'Thing that is also something that (plays some (FootballPlayer that is also Manager))'?, \nTrue
Can Player be considered a subcategory of 'Thing that is also something that (plays some (BallGame that is also FootballPlayer that is also Manager))'?, \nTrue
Can Team that is also Thing that is also something that (plays some (BallGame that is also FootballPlayer that is also Manager)) be considered a subcategory of 'Team that is also Thing that is also something that (plays some (BallGame that is also FootballPlayer that is also Manager))'?, \nTrue
Can Thing be considered a subcategory of 'BallGame that is also FootballPlayer that is also Manager'?, \nFalse
Can Manager be considered a subcategory of 'BallGame that is also FootballPlayer that is also Manager'?, \nFalse
Can Team be considered a subcategory of 'BallGame that is also FootballPlayer that is also Manager'?, \nFalse
Can Player be considered a subcategory of 'BallGame that is also FootballPlayer that is also Manager'?, \nFalse
Can FootballTeam be considered a subcategory of 'BallGame that is also FootballPlayer that is also Manager'?, \nFalse
Can Game be considered a subcategory of 'BallGame that is also FootballPlayer that is also Manager'?, \nTrue
Can Person be considered a subcategory of 'something that plays_for some Player'?, \nFalse
Can Manager be considered a subcategory of 'something that plays_for some FootballTeam'?, \nFalse
Can FootballTeam be considered a subcategory of 'something that plays_for some Football'?, \nTrue
Can Thing be considered a subcategory of 'something that plays_for some Football'?, \nFalse
Can Manager be considered a subcategory of 'something that plays_for some Football'?, \nFalse
Can Team be considered a subcategory of 'something that plays_for some Football'?, \nTrue
Can Thing that is also something that (plays_for some Football) be considered a subcategory of 'Thing that is also something that (plays_for some Football)'?, \nTrue
Can Team be considered a subcategory of 'FootballTeam that is also Thing that is also something that (plays_for some Football)'?, \nTrue
Can Team be considered a subcategory of 'Football that is also FootballTeam that is also Thing that is also something that (plays_for some Football)'?, \nFalse
Can Team be considered a subcategory of 'Team'?, \nFalse
Can Team be considered a subcategory of 'FootballTeam that is also Thing that is also something that (plays_for some (Football that is also FootballTeam))'?, \nFalse
Can FootballTeam that is also Manager that is also Thing that is also something that (plays_for some Football) be considered a subcategory of 'FootballTeam that is also Manager that is also Thing that is also something that (plays_for some Football)'?, \nFalse
Can Football be considered a subcategory of 'FootballTeam that is also Manager that is also Thing that is also something that (plays_for some Football)'?, \nFalse
Can Football that is also FootballTeam that is also Manager that is also Player that is also Thing that is also something that (plays_for some Football) be considered a subcategory of 'Football that is also FootballTeam that is also Manager that is also Player that is also Thing that is also something that (plays_for some Football)'?, \nTrue
Can Team be considered a subcategory of 'Football that is also FootballTeam that is also Manager that is also Player that is also Thing that is also something that (plays_for some (Football that is also FootballTeam))'?, \nFalse
Can Football that is also FootballTeam that is also Manager that is also Player that is also Team that is also Thing that is also something that (plays_for some Football) be considered a subcategory of 'Football that is also FootballTeam that is also Manager that is also Player that is also Team that is also Thing that is also something that (plays_for some Football)'?, \nTrue
