Can Parent that is also Person be considered a subcategory of 'Father'?, False.
Can Sibling be considered a subcategory of 'something that hasSex some GrandParent'?, False.
Can Female be considered a subcategory of 'something that hasChild some GrandFather'?, False.
Can GrandFather that is also Parent be considered a subcategory of 'Sibling'?, False.
Can GrandParent that is also Person be considered a subcategory of 'Brother'?, False
Can OffSpring that is also Sibling be considered a subcategory of 'Son'?, False.
Can Female that is also Woman be considered a subcategory of 'Sibling'?, False.
Can something that hasSibling some Daughter be considered a subcategory of 'Parent'?, False.
Can Child that is also Sister be considered a subcategory of 'GrandMother'?, False.
Can Female that is also Sibling be considered a subcategory of 'Parent'?, False.
Can something that hasSex some Person be considered a subcategory of 'Parent'?, False.
Can Daughter that is also Sex be considered a subcategory of 'Parent'?, False.
Can Female that is also Woman be considered a subcategory of 'Sister'?, False.
Can Person be considered a subcategory of 'something that hasSex some OffSpring'?, False.
Can GrandMother that is also Sibling be considered a subcategory of 'Brother'?, False.
Can OffSpring that is also Parent be considered a subcategory of 'Father'?, False.
Can Daughter that is also Father be considered a subcategory of 'Parent'?, False.
Can GrandFather that is also Sister be considered a subcategory of 'Sibling'?, False.
Can Child that is also Mother be considered a subcategory of 'Father'?, False.
Can Daughter that is also Son be considered a subcategory of 'Child'?, False.
Can Male that is also Sex be considered a subcategory of 'Son'?, False.
Can GrandFather that is also Sex be considered a subcategory of 'Male'?, False.
Can Brother that is also Person be considered a subcategory of 'Child'?, False.
Can Child that is also Mother be considered a subcategory of 'Son'?, False.
Can GrandFather that is also Sister be considered a subcategory of 'Parent'?, False.
Can something that hasParent some Parent be considered a subcategory of 'Woman'?, False
Can GrandParent be considered a subcategory of 'something that hasSibling some OffSpring'?, False.
Can Mother that is also OffSpring be considered a subcategory of 'Male'?, False.
Can Woman be considered a subcategory of 'something that hasChild some Child'?, True.
Can GrandMother be considered a subcategory of 'something that hasChild some Child'?, False
Can Thing be considered a subcategory of 'something that hasChild some Child'?, False.
Can Son be considered a subcategory of 'something that hasChild some Child'?, False.
Can Female be considered a subcategory of 'something that hasChild some Child'?, False.
Can Father be considered a subcategory of 'something that hasChild some Child'?, True.
Can Thing that is also something that (hasChild some Child) be considered a subcategory of 'Thing that is also something that (hasChild some Child)'?, False.
Can GrandMother be considered a subcategory of 'Child'?, False.
Can Female be considered a subcategory of 'Child'?, False.
Can Person be considered a subcategory of 'Child'?, False.
Can Man be considered a subcategory of 'Child'?, False.
Can Sex be considered a subcategory of 'Child'?, False
Can Sister be considered a subcategory of 'Child'?, False.
Can OffSpring be considered a subcategory of 'Child'?, False.
Can Sibling be considered a subcategory of 'Child'?, False.
Can GrandFather be considered a subcategory of 'Child'?, False
Can Thing that is also something that (hasChild some (Child that is also Thing)) be considered a subcategory of 'Thing that is also something that (hasChild some (Child that is also Thing))'?, False
Can GrandMother be considered a subcategory of 'Child that is also Thing'?, False.
Can Thing be considered a subcategory of 'Child that is also Thing'?, True.
Can Child that is also Thing that is also something that (hasParent some (GrandParent that is also Person that is also Thing)) be considered a subcategory of 'Child that is also Thing that is also something that (hasParent some (GrandParent that is also Person that is also Thing))'?, False.
Can GrandMother be considered a subcategory of 'GrandParent that is also Person that is also Thing'?, True.
Can GrandMother be considered a subcategory of 'Female'?, False.
Can GrandMother be considered a subcategory of 'Father'?, False
Can GrandMother be considered a subcategory of 'Brother'?, False.
Can GrandMother be considered a subcategory of 'Parent'?, False.
Can GrandMother be considered a subcategory of 'Daughter'?, False.
Can GrandMother be considered a subcategory of 'Mother'?, False.
Can GrandMother be considered a subcategory of 'Sex'?, False.
Can GrandMother be considered a subcategory of 'Sister'?, False.
Can GrandMother be considered a subcategory of 'OffSpring'?, False.
Can GrandMother be considered a subcategory of 'Woman'?, True.
Can GrandMother be considered a subcategory of 'GrandParent that is also Person that is also Woman that is also Thing'?, False
Can GrandMother be considered a subcategory of 'Male'?, False
Can GrandMother be considered a subcategory of 'Sibling'?, False.
Can GrandMother be considered a subcategory of 'GrandFather'?, False.
Can Female that is also Person be considered a subcategory of 'Parent'?, False.
Can Female that is also Mother be considered a subcategory of 'Male'?, False.
Can GrandFather that is also Sibling be considered a subcategory of 'Father'?, False.
Can Daughter that is also Woman be considered a subcategory of 'Sister'?, False.
Can Man that is also Person be considered a subcategory of 'Sibling'?, False.
Can GrandMother that is also Sister be considered a subcategory of 'Sibling'?, False
Can Male that is also Sex be considered a subcategory of 'Female'?, False.
Can Child that is also GrandParent be considered a subcategory of 'Sister'?, False.
Can Brother that is also Daughter be considered a subcategory of 'Mother'?, False
Can Mother that is also Woman be considered a subcategory of 'Sex'?, False.
Can Father that is also Man be considered a subcategory of 'Brother'?, False.
Can Person that is also Sex be considered a subcategory of 'Brother'?, False.
Can Man that is also Parent be considered a subcategory of 'Woman'?, False.
Can something that hasChild some GrandParent be considered a subcategory of 'Woman'?, False.
Can Child that is also OffSpring be considered a subcategory of 'Sex'?, False.
Can Child that is also Sister be considered a subcategory of 'Female'?, False.
Can GrandParent that is also Male be considered a subcategory of 'Brother'?, False
Can Sibling be considered a subcategory of 'something that hasSex some Mother'?, False.
Can GrandMother that is also Sibling be considered a subcategory of 'OffSpring'?, False.
Can Father that is also Son be considered a subcategory of 'OffSpring'?, False
Can Brother that is also Sister be considered a subcategory of 'Man'?, False.
Can GrandFather that is also Woman be considered a subcategory of 'Father'?, False
Can something that hasSex some Sister be considered a subcategory of 'GrandFather'?, False.
Can something that hasSibling some Man be considered a subcategory of 'Man'?, False.
Can Man that is also Mother be considered a subcategory of 'Person'?, False.
Can Child that is also Person be considered a subcategory of 'Daughter'?, False.
Can Daughter that is also Sister be considered a subcategory of 'Sibling'?, False.
Can something that hasChild some Male be considered a subcategory of 'Sex'?, False
Can GrandMother be considered a subcategory of 'something that hasSex some Female'?, False.
Can Child that is also Sibling be considered a subcategory of 'GrandParent'?, False.
Can Parent that is also Son be considered a subcategory of 'Mother'?, False.
Can Sex be considered a subcategory of 'OffSpring'?, False.
Can Man be considered a subcategory of 'something that hasChild some Female'?, True.
Can Man be considered a subcategory of 'GrandMother'?, False.
Can Man be considered a subcategory of 'Female'?, False.
Can Man be considered a subcategory of 'Father'?, False.
Can Man be considered a subcategory of 'Person'?, False.
Can Man be considered a subcategory of 'Brother'?, False.
Can Man be considered a subcategory of 'Parent'?, False.
Can Man be considered a subcategory of 'Daughter'?, False
Can Man be considered a subcategory of 'Mother'?, False.
Can Man be considered a subcategory of 'GrandParent'?, False.
Can Man be considered a subcategory of 'Sex'?, False.
Can Man be considered a subcategory of 'Sister'?, False.
Can Man be considered a subcategory of 'OffSpring'?, False.
Can Man be considered a subcategory of 'Woman'?, False.
Can Man be considered a subcategory of 'Male'?, False.
Can Man be considered a subcategory of 'Sibling'?, False.
Can Man be considered a subcategory of 'GrandFather'?, False
Can GrandMother be considered a subcategory of 'something that hasChild some Female'?, False.
Can Thing be considered a subcategory of 'something that hasChild some Female'?, False
Can Son be considered a subcategory of 'something that hasChild some Female'?, True.
Can Thing that is also something that (hasChild some Female) be considered a subcategory of 'Thing that is also something that (hasChild some Female)'?, False.
Can Thing be considered a subcategory of 'Thing that is also something that (hasChild some Female)'?, False.
Can Male be considered a subcategory of 'Thing that is also something that (hasChild some Female)'?, True.
Can Man be considered a subcategory of 'Thing that is also something that (hasChild some Female)'?, True.
Can Man be considered a subcategory of 'Thing'?, True.
Can Man be considered a subcategory of 'Man'?, False.
Can Child be considered a subcategory of 'Female'?, False.
Can Person be considered a subcategory of 'Female'?, False.
Can Sex be considered a subcategory of 'Female'?, False
Can Sister be considered a subcategory of 'Female'?, False.
Can OffSpring be considered a subcategory of 'Female'?, False.
Can Sibling be considered a subcategory of 'Female'?, False.
Can GrandFather be considered a subcategory of 'Female'?, False
Can Man be considered a subcategory of 'Thing that is also something that (hasChild some (Female that is also Thing))'?, False.
Can Thing that is also something that (hasChild some (Female that is also Thing)) be considered a subcategory of 'Thing that is also something that (hasChild some (Female that is also Thing))'?, False.
Can Thing be considered a subcategory of 'Thing that is also something that (hasChild some (Female that is also Thing))'?, True.
Can GrandMother be considered a subcategory of 'Female that is also Thing'?, True.
Can GrandMother be considered a subcategory of 'Female that is also GrandParent that is also Person that is also Woman that is also Thing'?, False
Can GrandParent that is also Person be considered a subcategory of 'Daughter'?, False.
Can Daughter that is also Parent be considered a subcategory of 'Sister'?, False.
Can Man that is also Sex be considered a subcategory of 'GrandMother'?, False.
Can Person that is also Woman be considered a subcategory of 'OffSpring'?, False.
Can Child that is also GrandParent be considered a subcategory of 'Parent'?, False.
Can Daughter be considered a subcategory of 'something that hasParent some Father'?, False.
Can GrandMother that is also Person be considered a subcategory of 'OffSpring'?, False.
Can GrandFather that is also Person be considered a subcategory of 'Father'?, False.
Can Daughter that is also Sibling be considered a subcategory of 'Sister'?, False
Can GrandMother be considered a subcategory of 'something that hasSex some Man'?, False.
Can Father be considered a subcategory of 'something that hasChild some Father'?, True.
Can GrandMother be considered a subcategory of 'something that hasChild some Father'?, True
Can Thing that is also something that (hasChild some Father) be considered a subcategory of 'Thing that is also something that (hasChild some Father)'?, False.
Can GrandMother be considered a subcategory of 'GrandMother'?, False.
Can GrandMother be considered a subcategory of 'Thing'?, True.
Can Thing be considered a subcategory of 'Thing that is also something that (hasChild some Father)'?, This statement
Can GrandMother be considered a subcategory of 'Person'?, True.
Can Person be considered a subcategory of 'GrandMother'?, False.
Can Person be considered a subcategory of 'Thing that is also something that (hasChild some Father)'?, False.
Can GrandMother be considered a subcategory of 'GrandParent'?, True.
Can GrandParent be considered a subcategory of 'Thing that is also something that (hasChild some Father)'?, False.
Can Woman be considered a subcategory of 'Thing that is also something that (hasChild some Father)'?, False
Can Female be considered a subcategory of 'Father'?, False.
Can Child be considered a subcategory of 'Father'?, False.
Can Person be considered a subcategory of 'Father'?, False.
Can Sex be considered a subcategory of 'Father'?, False.
Can Sister be considered a subcategory of 'Father'?, False.
Can OffSpring be considered a subcategory of 'Father'?, False.
Can Sibling be considered a subcategory of 'Father'?, False.
Can GrandFather be considered a subcategory of 'Father'?, True
Can GrandFather be considered a subcategory of 'GrandMother'?, False.
Can GrandFather be considered a subcategory of 'Thing'?, True.
Can GrandFather be considered a subcategory of 'Father that is also Thing'?, True.
Can GrandFather be considered a subcategory of 'Person'?, False
Can GrandFather be considered a subcategory of 'Brother'?, False.
Can GrandFather be considered a subcategory of 'Parent'?, False.
Can GrandFather be considered a subcategory of 'Mother'?, False.
Can GrandFather be considered a subcategory of 'GrandParent'?, False.
Can GrandFather be considered a subcategory of 'Sex'?, False
Can GrandFather be considered a subcategory of 'Sister'?, False.
Can GrandFather be considered a subcategory of 'Woman'?, False.
Can GrandFather be considered a subcategory of 'Male'?, False.
Can GrandFather be considered a subcategory of 'Sibling'?, False.
Can Male be considered a subcategory of 'something that hasSibling some GrandParent'?, False.
Can Female that is also Sex be considered a subcategory of 'Sister'?, False.
Can GrandFather be considered a subcategory of 'something that hasChild some GrandParent'?, False.
Can Person that is also Sibling be considered a subcategory of 'Sex'?, False.
Can something that hasSibling some Male be considered a subcategory of 'Person'?, False.
Can Father be considered a subcategory of 'something that hasSex some GrandParent'?, False.
Can Parent that is also Woman be considered a subcategory of 'Daughter'?, False.
Can Male be considered a subcategory of 'something that hasParent some Daughter'?, False.
Can Daughter that is also Female be considered a subcategory of 'Sex'?, False
Can Brother that is also Sex be considered a subcategory of 'Female'?, False.
Can Female that is also Sister be considered a subcategory of 'Brother'?, False.
Can Female that is also GrandFather be considered a subcategory of 'GrandParent'?, False.
Can something that hasChild some Sister be considered a subcategory of 'Brother'?, False.
Can Father that is also OffSpring be considered a subcategory of 'Son'?, False.
Can OffSpring that is also Person be considered a subcategory of 'Mother'?, False.
Can Daughter that is also Son be considered a subcategory of 'Sex'?, False.
Can OffSpring that is also Woman be considered a subcategory of 'Father'?, False.
Can Sibling be considered a subcategory of 'Woman'?, False.
Can something that hasChild some Father be considered a subcategory of 'GrandMother'?, False.
Can Child be considered a subcategory of 'something that hasChild some Sister'?, False.
Can GrandMother that is also Parent be considered a subcategory of 'Sister'?, False.
Can Child that is also Daughter be considered a subcategory of 'GrandFather'?, False.
Can Sex that is also Sister be considered a subcategory of 'Man'?, False.
Can Brother that is also Man be considered a subcategory of 'GrandParent'?, False.
Can GrandParent that is also Woman be considered a subcategory of 'GrandFather'?, False.
Can something that hasParent some Son be considered a subcategory of 'Sibling'?, False.
Can Man that is also OffSpring be considered a subcategory of 'Father'?, False
Can GrandParent that is also Son be considered a subcategory of 'Father'?, False.
Can GrandParent that is also Sex be considered a subcategory of 'GrandMother'?, False
Can Daughter that is also Sister be considered a subcategory of 'Male'?, False.
Can Child that is also Daughter be considered a subcategory of 'Male'?, False.
Can Man that is also Parent be considered a subcategory of 'Sister'?, False.
Can Father that is also Person be considered a subcategory of 'GrandParent'?, False.
Can Person that is also Sibling be considered a subcategory of 'Mother'?, False.
Can Sibling be considered a subcategory of 'something that hasParent some Mother'?, True.
Can Sibling be considered a subcategory of 'GrandMother'?, False.
Can Sibling be considered a subcategory of 'Person'?, False.
Can Sibling be considered a subcategory of 'Brother'?, False.
Can Sibling be considered a subcategory of 'Parent'?, False.
Can Sibling be considered a subcategory of 'Daughter'?, False.
Can Sibling be considered a subcategory of 'Mother'?, False.
Can Sibling be considered a subcategory of 'GrandParent'?, False.
Can Sibling be considered a subcategory of 'Sex'?, False.
Can Sibling be considered a subcategory of 'Sister'?, False.
Can Sibling be considered a subcategory of 'OffSpring'?, False
Can Sibling be considered a subcategory of 'Male'?, False.
Can Sibling be considered a subcategory of 'GrandFather'?, False
Can GrandMother be considered a subcategory of 'something that hasParent some Mother'?, True.
Can Thing that is also something that (hasParent some Mother) be considered a subcategory of 'Thing that is also something that (hasParent some Mother)'?, False.
Can Thing be considered a subcategory of 'Thing that is also something that (hasParent some Mother)'?, False.
Can Person be considered a subcategory of 'Thing that is also something that (hasParent some Mother)'?, False.
Can GrandParent be considered a subcategory of 'Thing that is also something that (hasParent some Mother)'?, False.
Can Woman be considered a subcategory of 'Thing that is also something that (hasParent some Mother)'?, False.
Can Female be considered a subcategory of 'Mother'?, False.
Can Child be considered a subcategory of 'Mother'?, False
Can Person be considered a subcategory of 'Mother'?, False.
Can Sex be considered a subcategory of 'Mother'?, False.
Can Sister be considered a subcategory of 'Mother'?, False.
Can OffSpring be considered a subcategory of 'Mother'?, False.
Can GrandMother be considered a subcategory of 'Person that is also Thing that is also something that (hasParent some Mother)'?, False.
Can GrandMother be considered a subcategory of 'GrandParent that is also Thing that is also something that (hasParent some Mother)'?, Let's
Can GrandMother be considered a subcategory of 'Woman that is also Thing that is also something that (hasParent some Mother)'?, False
Can GrandMother be considered a subcategory of 'Thing that is also something that (hasParent some (Mother that is also Thing))'?, False.
Can GrandMother be considered a subcategory of 'Thing that is also something that (hasParent some (Mother that is also Person))'?, False.
Can GrandMother be considered a subcategory of 'Thing that is also something that (hasParent some (GrandParent that is also Mother))'?, Let's
Can GrandMother be considered a subcategory of 'Thing that is also something that (hasParent some (Mother that is also Woman))'?, True.
Can Thing that is also something that (hasParent some (Mother that is also Woman that is also Thing)) be considered a subcategory of 'Thing that is also something that (hasParent some (Mother that is also Woman that is also Thing))'?, False.
Can Thing be considered a subcategory of 'Thing that is also something that (hasParent some (Mother that is also Woman that is also Thing))'?, False.
Can Person be considered a subcategory of 'Thing that is also something that (hasParent some (Mother that is also Woman that is also Thing))'?, False.
Can GrandParent be considered a subcategory of 'Thing that is also something that (hasParent some (Mother that is also Woman that is also Thing))'?, False.
Can Woman be considered a subcategory of 'Thing that is also something that (hasParent some (Mother that is also Woman that is also Thing))'?, False.
Can GrandMother be considered a subcategory of 'Mother that is also Woman that is also Thing'?, True.
Can Daughter that is also Sibling be considered a subcategory of 'Mother'?, False.
Can GrandParent that is also Man be considered a subcategory of 'GrandMother'?, False.
Can Daughter that is also GrandParent be considered a subcategory of 'GrandMother'?, False.
Can GrandMother that is also Person be considered a subcategory of 'Father'?, False.
Can Parent be considered a subcategory of 'something that hasSex some Man'?, False.
Can something that hasParent some Woman be considered a subcategory of 'OffSpring'?, False.
Can Child that is also GrandMother be considered a subcategory of 'Brother'?, False.
Can Child that is also GrandFather be considered a subcategory of 'Woman'?, False.
Can Parent that is also Person be considered a subcategory of 'Woman'?, False.
Can GrandParent that is also Sibling be considered a subcategory of 'Child'?, False.
Can Sex that is also Sibling be considered a subcategory of 'Child'?, False.
Can Father that is also Parent be considered a subcategory of 'Brother'?, False.
Can GrandParent that is also Man be considered a subcategory of 'Male'?, False.
Can Male be considered a subcategory of 'something that hasSex some Woman'?, False.
Can GrandMother that is also Sibling be considered a subcategory of 'Male'?, False
Can Brother that is also Female be considered a subcategory of 'Son'?, False.
Can GrandFather that is also Mother be considered a subcategory of 'Parent'?, False.
Can OffSpring that is also Person be considered a subcategory of 'Male'?, False.
Can Female that is also Sex be considered a subcategory of 'GrandMother'?, False.
Can Female that is also Sister be considered a subcategory of 'Parent'?, False.
Can GrandMother that is also GrandParent be considered a subcategory of 'Daughter'?, False.
Can Man that is also Sibling be considered a subcategory of 'Daughter'?, False.
Can GrandFather that is also Man be considered a subcategory of 'Mother'?, False.
Can Sex be considered a subcategory of 'something that hasSex some Brother'?, False.
Can Brother be considered a subcategory of 'something that hasChild some Mother'?, False
Can Female that is also GrandParent be considered a subcategory of 'OffSpring'?, False.
Can Mother that is also Sibling be considered a subcategory of 'OffSpring'?, False
Can something that hasParent some Sex be considered a subcategory of 'Son'?, False.
Can something that hasSibling some Brother be considered a subcategory of 'Son'?, False.
Can Daughter that is also Male be considered a subcategory of 'Sex'?, False.
Can Father that is also Person be considered a subcategory of 'OffSpring'?, False.
Can Female that is also GrandFather be considered a subcategory of 'Brother'?, False.
Can Brother that is also Sibling be considered a subcategory of 'GrandMother'?, False.
Can Daughter that is also Father be considered a subcategory of 'Sister'?, False.
Can GrandFather that is also Sex be considered a subcategory of 'Sister'?, False.
Can Male that is also Man be considered a subcategory of 'GrandFather'?, False.
Can something that hasSex some Mother be considered a subcategory of 'Man'?, False.
Can Brother be considered a subcategory of 'something that hasSibling some GrandParent'?, False.
Can Sister that is also Woman be considered a subcategory of 'GrandFather'?, False.
Can GrandMother that is also Man be considered a subcategory of 'Sibling'?, False.
Can Father that is also Person be considered a subcategory of 'Sibling'?, False
Can something that hasSibling some OffSpring be considered a subcategory of 'Man'?, False.
Can Sister that is also Son be considered a subcategory of 'Daughter'?, False.
Can OffSpring that is also Woman be considered a subcategory of 'Mother'?, False.
Can Child be considered a subcategory of 'Sex'?, False.
Can Daughter that is also GrandFather be considered a subcategory of 'Person'?, False.
Can Mother that is also Person be considered a subcategory of 'GrandParent'?, False.
Can Female that is also Man be considered a subcategory of 'Father'?, False.
Can Brother that is also Mother be considered a subcategory of 'Sister'?, False.
Can OffSpring that is also Woman be considered a subcategory of 'GrandMother'?, False.
Can Male that is also Son be considered a subcategory of 'GrandMother'?, False.
Can Child that is also Female be considered a subcategory of 'Father'?, False.
Can GrandFather that is also Person be considered a subcategory of 'Man'?, False
Can Mother that is also Parent be considered a subcategory of 'Father'?, False.
Can OffSpring be considered a subcategory of 'something that hasParent some Sister'?, False.
Can Child be considered a subcategory of 'Male'?, False.
Can something that hasSex some Parent be considered a subcategory of 'Child'?, False.
Can Mother that is also Person be considered a subcategory of 'Parent'?, False
Can GrandParent be considered a subcategory of 'something that hasSex some Brother'?, False.
Can Person be considered a subcategory of 'Brother'?, False.
Can something that hasChild some Man be considered a subcategory of 'Son'?, False.
Can GrandParent that is also Sister be considered a subcategory of 'Son'?, False.
Can OffSpring be considered a subcategory of 'something that hasChild some Parent'?, False.
Can GrandMother that is also Son be considered a subcategory of 'Male'?, False
Can Daughter that is also Female be considered a subcategory of 'Parent'?, False.
Can Sex be considered a subcategory of 'something that hasSex some Parent'?, False
Can Female that is also Mother be considered a subcategory of 'Sister'?, False.
Can Sex that is also Son be considered a subcategory of 'GrandMother'?, False.
Can Person that is also Woman be considered a subcategory of 'Brother'?, False.
Can Daughter that is also Sister be considered a subcategory of 'Parent'?, False.
Can OffSpring that is also Parent be considered a subcategory of 'GrandFather'?, False.
Can Son be considered a subcategory of 'something that hasParent some Man'?, False.
Can Sex be considered a subcategory of 'something that hasChild some Sex'?, False.
Can Daughter that is also Mother be considered a subcategory of 'Child'?, False.
Can something that hasSibling some Female be considered a subcategory of 'Sister'?, False.
Can Father that is also Mother be considered a subcategory of 'Sister'?, False.
Can GrandParent that is also Parent be considered a subcategory of 'Father'?, False
Can something that hasParent some Sibling be considered a subcategory of 'Father'?, False.
Can Female that is also Sister be considered a subcategory of 'GrandParent'?, False.
Can Brother that is also Man be considered a subcategory of 'GrandFather'?, False
Can GrandFather be considered a subcategory of 'something that hasSex some Person'?, False.
Can Sibling be considered a subcategory of 'something that hasChild some GrandParent'?, False.
Can something that hasSex some Son be considered a subcategory of 'Daughter'?, False.
Can something that hasSibling some GrandMother be considered a subcategory of 'Daughter'?, False.
Can Mother that is also Woman be considered a subcategory of 'Man'?, False.
Can Male that is also OffSpring be considered a subcategory of 'Female'?, False.
Can something that hasSex some Daughter be considered a subcategory of 'Parent'?, False.
Can something that hasSibling some Sex be considered a subcategory of 'Parent'?, False.
Can Female be considered a subcategory of 'something that hasParent some Female'?, True.
Can Female be considered a subcategory of 'GrandMother'?, False.
Can Female be considered a subcategory of 'Person'?, False.
Can Female be considered a subcategory of 'Brother'?, False.
Can Female be considered a subcategory of 'Parent'?, False.
Can Female be considered a subcategory of 'Daughter'?, False.
Can Female be considered a subcategory of 'GrandParent'?, False.
Can Female be considered a subcategory of 'Sex'?, False.
Can Female be considered a subcategory of 'Sister'?, False.
Can Female be considered a subcategory of 'OffSpring'?, False
Can Female be considered a subcategory of 'Woman'?, False
Can Female be considered a subcategory of 'Male'?, False.
Can Female be considered a subcategory of 'Sibling'?, False.
Can Female be considered a subcategory of 'GrandFather'?, False.
Can GrandMother be considered a subcategory of 'something that hasParent some Female'?, False.
Can Thing be considered a subcategory of 'something that hasParent some Female'?, False.
Can Son be considered a subcategory of 'something that hasParent some Female'?, False.
Can Thing that is also something that (hasParent some Female) be considered a subcategory of 'Thing that is also something that (hasParent some Female)'?, False.
Can Female be considered a subcategory of 'Thing'?, True.
Can Thing be considered a subcategory of 'Thing that is also something that (hasParent some Female)'?, False.
Can Female be considered a subcategory of 'Female'?, False.
Can Female be considered a subcategory of 'Thing that is also something that (hasParent some (Female that is also Thing))'?, False.
Can Thing that is also something that (hasParent some (Female that is also Thing)) be considered a subcategory of 'Thing that is also something that (hasParent some (Female that is also Thing))'?, False.
Can Thing be considered a subcategory of 'Thing that is also something that (hasParent some (Female that is also Thing))'?, False.
Can Thing be considered a subcategory of 'Female that is also Thing'?, False.
Can Son be considered a subcategory of 'Female that is also Thing'?, False.
Can Father be considered a subcategory of 'Female that is also Thing'?, False.
Can Child be considered a subcategory of 'Female that is also Thing'?, False.
Can Person be considered a subcategory of 'Female that is also Thing'?, False.
Can Brother be considered a subcategory of 'Female that is also Thing'?, False.
Can Parent be considered a subcategory of 'Female that is also Thing'?, False.
Can Daughter be considered a subcategory of 'Female that is also Thing'?, False
Can Man be considered a subcategory of 'Female that is also Thing'?, False.
Can Mother be considered a subcategory of 'Female that is also Thing'?, False.
Can GrandParent be considered a subcategory of 'Female that is also Thing'?, False.
Can Sex be considered a subcategory of 'Female that is also Thing'?, False.
Can Sister be considered a subcategory of 'Female that is also Thing'?, False.
Can OffSpring be considered a subcategory of 'Female that is also Thing'?, False.
Can Woman be considered a subcategory of 'Female that is also Thing'?, False.
Can Male be considered a subcategory of 'Female that is also Thing'?, False.
Can Sibling be considered a subcategory of 'Female that is also Thing'?, False.
Can GrandFather be considered a subcategory of 'Female that is also Thing'?, True.
Can Sex that is also Sister be considered a subcategory of 'Son'?, False.
Can Child that is also Sex be considered a subcategory of 'Son'?, False.
Can GrandParent that is also Sibling be considered a subcategory of 'GrandMother'?, False.
Can Brother that is also Sister be considered a subcategory of 'Male'?, False.
Can GrandFather be considered a subcategory of 'something that hasParent some Male'?, True.
Can GrandMother be considered a subcategory of 'something that hasParent some Male'?, False.
Can Thing be considered a subcategory of 'something that hasParent some Male'?, False.
Can Son be considered a subcategory of 'something that hasParent some Male'?, False.
Can Female be considered a subcategory of 'something that hasParent some Male'?, True
Can Thing that is also something that (hasParent some Male) be considered a subcategory of 'Thing that is also something that (hasParent some Male)'?, False.
Can Thing be considered a subcategory of 'Thing that is also something that (hasParent some Male)'?, False.
Can Son be considered a subcategory of 'Male that is also Thing'?, True.
Can Son be considered a subcategory of 'Male that is also Sibling that is also Thing'?, True.
Can Male that is also Man that is also Sibling that is also Thing that is also something that (hasChild some Son) be considered a subcategory of 'Male that is also Man that is also Sibling that is also Thing that is also something that (hasChild some Son)'?, False.
Can Thing be considered a subcategory of 'Male that is also Man that is also Sibling that is also Thing that is also something that (hasChild some Son)'?, A delightful
Can Male be considered a subcategory of 'Male that is also Man that is also Sibling that is also Thing that is also something that (hasChild some Son)'?, False.
Can Sibling be considered a subcategory of 'Male that is also Man that is also Sibling that is also Thing that is also something that (hasChild some Son)'?, False.
Can Son be considered a subcategory of 'Male that is also Man that is also Sibling that is also Thing that is also something that (hasChild some (Son that is also Thing))'?, False.
Can Son be considered a subcategory of 'Male that is also Man that is also Sibling that is also Thing that is also something that (hasChild some (Male that is also Son))'?, A challenging
Can Son be considered a subcategory of 'Male that is also Man that is also Sibling that is also Thing that is also something that (hasChild some (Sibling that is also Son))'?, False.
Can Male that is also Man that is also Sibling that is also Thing that is also something that (hasChild some (Son that is also Thing)) be considered a subcategory of 'Male that is also Man that is also Sibling that is also Thing that is also something that (hasChild some (Son that is also Thing))'?, False.
Can Thing be considered a subcategory of 'Male that is also Man that is also Sibling that is also Thing that is also something that (hasChild some (Son that is also Thing))'?, False.
Can Male be considered a subcategory of 'Male that is also Man that is also Sibling that is also Thing that is also something that (hasChild some (Son that is also Thing))'?, Let's
Can Sibling be considered a subcategory of 'Male that is also Man that is also Sibling that is also Thing that is also something that (hasChild some (Son that is also Thing))'?, False.
Can GrandMother be considered a subcategory of 'Son that is also Thing'?, False.
Can Thing be considered a subcategory of 'Son that is also Thing'?, False.
Can Female be considered a subcategory of 'Son that is also Thing'?, False.
Can Father be considered a subcategory of 'Son that is also Thing'?, False.
Can Child be considered a subcategory of 'Son that is also Thing'?, False
Can Person be considered a subcategory of 'Son that is also Thing'?, False.
Can Brother be considered a subcategory of 'Son that is also Thing'?, False.
Can Parent be considered a subcategory of 'Son that is also Thing'?, False.
Can Daughter be considered a subcategory of 'Son that is also Thing'?, False.
Can Man be considered a subcategory of 'Son that is also Thing'?, False.
Can Mother be considered a subcategory of 'Son that is also Thing'?, False
Can GrandParent be considered a subcategory of 'Son that is also Thing'?, False.
Can Sex be considered a subcategory of 'Son that is also Thing'?, False.
Can Sister be considered a subcategory of 'Son that is also Thing'?, False.
Can OffSpring be considered a subcategory of 'Son that is also Thing'?, False.
Can Woman be considered a subcategory of 'Son that is also Thing'?, False.
Can Male be considered a subcategory of 'Son that is also Thing'?, False.
Can Sibling be considered a subcategory of 'Son that is also Thing'?, False.
Can GrandFather be considered a subcategory of 'Son that is also Thing'?, True.
Can Daughter that is also Man be considered a subcategory of 'Sex'?, False.
Can Child that is also Sibling be considered a subcategory of 'GrandFather'?, False.
Can GrandFather that is also Man be considered a subcategory of 'GrandMother'?, False.
Can Daughter that is also Mother be considered a subcategory of 'GrandFather'?, False.
Can something that hasChild some Male be considered a subcategory of 'Sister'?, True.
Can something that hasChild some Male be considered a subcategory of 'GrandMother'?, False.
Can something that hasChild some Male be considered a subcategory of 'Son'?, False.
Can something that hasChild some Male be considered a subcategory of 'Female'?, False.
