Parent and Person SubClassOf Father, True
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSex some (Father and Female and GrandMother and Sister and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSex some (Child and Father and Female and GrandMother and Sister and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSex some (Child and Father and Female and GrandMother and Person and Sister and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSex some (Child and Father and Female and GrandMother and Parent and Person and Sister and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSex some (Child and Daughter and Father and Female and GrandMother and Parent and Person and Sister and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSex some (Child and Daughter and Father and Female and GrandMother and Man and Parent and Person and Sister and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSex some (Child and Daughter and Father and Female and GrandMother and Man and Mother and Parent and Person and Sister and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSex some (Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Mother and Parent and Person and Sister and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSex some (Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSex some (Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSex some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)), \nTrue
Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSex some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSex some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)), \nTrue
Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)) and (hasParent some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)) and (hasSex some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)) and (hasSibling some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)), Here are
Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)) and (hasParent some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)) and (hasSex some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)) and (hasSibling some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)), Here are
Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)) and (hasParent some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)) and (hasSibling some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)), Here is
Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)) and (hasParent some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)) and (hasSex some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)) and (hasSibling some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)) and (hasSibling some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)), Here are
Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)) and (hasParent some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)) and (hasSex some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)) and (hasSibling some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)) and (hasSibling some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)), True:
Can Parent that is also Person be considered a subcategory of 'Father'?, True
Can Parent that is also Person be considered a subcategory of 'GrandMother'?, True
Can Person be considered a subcategory of 'GrandMother'?, True
Can Person be considered a subcategory of 'Thing'?, True
Can Person be considered a subcategory of 'GrandMother that is also Thing'?, True
Can Person be considered a subcategory of 'Son'?, True
Can Person be considered a subcategory of 'GrandMother that is also Son that is also Thing'?, True
Can Person be considered a subcategory of 'Female'?, True
Can Person be considered a subcategory of 'Female that is also GrandMother that is also Son that is also Thing'?, True
Can Person be considered a subcategory of 'Father'?, True
Can Person be considered a subcategory of 'Father that is also Female that is also GrandMother that is also Son that is also Thing'?, \nFalse
Can Person be considered a subcategory of 'Child'?, True
Can Person be considered a subcategory of 'Child that is also Female that is also GrandMother that is also Son that is also Thing'?, True
Can Person be considered a subcategory of 'Brother'?, True
Can Person be considered a subcategory of 'Brother that is also Child that is also Female that is also GrandMother that is also Son that is also Thing'?, \nFalse
Can Person be considered a subcategory of 'Parent'?, True
Can Person be considered a subcategory of 'Child that is also Female that is also GrandMother that is also Parent that is also Son that is also Thing'?, \nFalse
Can Person be considered a subcategory of 'Daughter'?, True
Can Person be considered a subcategory of 'Child that is also Daughter that is also Female that is also GrandMother that is also Son that is also Thing'?, True
Can Person be considered a subcategory of 'Man'?, True
Can Person be considered a subcategory of 'Child that is also Daughter that is also Female that is also GrandMother that is also Man that is also Son that is also Thing'?, \nFalse
Can Person be considered a subcategory of 'Mother'?, True
Can Person be considered a subcategory of 'Child that is also Daughter that is also Female that is also GrandMother that is also Mother that is also Son that is also Thing'?, \nFalse
Can Person be considered a subcategory of 'GrandParent'?, True
Can Person be considered a subcategory of 'Child that is also Daughter that is also Female that is also GrandMother that is also GrandParent that is also Son that is also Thing'?, \nFalse
Can Person be considered a subcategory of 'Sex'?, True
Can Person be considered a subcategory of 'Child that is also Daughter that is also Female that is also GrandMother that is also Sex that is also Son that is also Thing'?, True
Can Person be considered a subcategory of 'Sister'?, True
Can Person be considered a subcategory of 'Child that is also Daughter that is also Female that is also GrandMother that is also Sex that is also Sister that is also Son that is also Thing'?, True
Can Person be considered a subcategory of 'OffSpring'?, True
Can Person be considered a subcategory of 'Child that is also Daughter that is also Female that is also GrandMother that is also OffSpring that is also Sex that is also Sister that is also Son that is also Thing'?, \nTrue
Can Person be considered a subcategory of 'Woman'?, True
Can Person be considered a subcategory of 'Child that is also Daughter that is also Female that is also GrandMother that is also OffSpring that is also Sex that is also Sister that is also Son that is also Woman that is also Thing'?, \nTrue
Can Person be considered a subcategory of 'Male'?, True
Can Person be considered a subcategory of 'Child that is also Daughter that is also Female that is also GrandMother that is also Male that is also OffSpring that is also Sex that is also Sister that is also Son that is also Woman that is also Thing'?, \nFalse
Can Person be considered a subcategory of 'Sibling'?, True
Can Person be considered a subcategory of 'Child that is also Daughter that is also Female that is also GrandMother that is also OffSpring that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing'?, \nFalse
Can Person be considered a subcategory of 'GrandFather'?, True
Can Person be considered a subcategory of 'Child that is also Daughter that is also Female that is also GrandFather that is also GrandMother that is also OffSpring that is also Sex that is also Sister that is also Son that is also Woman that is also Thing'?, \nFalse
Can Person be considered a subcategory of 'Child that is also Daughter that is also Father that is also Female that is also GrandMother that is also OffSpring that is also Sex that is also Sister that is also Son that is also Woman that is also Thing'?, \nFalse
Can Person be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Female that is also GrandMother that is also OffSpring that is also Sex that is also Sister that is also Son that is also Woman that is also Thing'?, \nFalse
Can Person be considered a subcategory of 'Child that is also Daughter that is also Female that is also GrandMother that is also OffSpring that is also Parent that is also Sex that is also Sister that is also Son that is also Woman that is also Thing'?, \nTrue
Can Person be considered a subcategory of 'Child that is also Daughter that is also Female that is also GrandMother that is also Man that is also OffSpring that is also Parent that is also Sex that is also Sister that is also Son that is also Woman that is also Thing'?, \nFalse
Can Person be considered a subcategory of 'Child that is also Daughter that is also Female that is also GrandMother that is also Mother that is also OffSpring that is also Parent that is also Sex that is also Sister that is also Son that is also Woman that is also Thing'?, \nFalse
Can Person be considered a subcategory of 'Child that is also Daughter that is also Female that is also GrandMother that is also GrandParent that is also OffSpring that is also Parent that is also Sex that is also Sister that is also Son that is also Woman that is also Thing'?, \nTrue
Can Person be considered a subcategory of 'Child that is also Daughter that is also Female that is also GrandMother that is also GrandParent that is also Male that is also OffSpring that is also Parent that is also Sex that is also Sister that is also Son that is also Woman that is also Thing'?, \nFalse
Can Person be considered a subcategory of 'Child that is also Daughter that is also Female that is also GrandMother that is also GrandParent that is also OffSpring that is also Parent that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing'?, \nTrue
Can Person be considered a subcategory of 'Child that is also Daughter that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also OffSpring that is also Parent that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing'?, \nFalse
Can GrandFather be considered a subcategory of 'OffSpring'?, \nFalse
Can something that hasParent some GrandMother be considered a subcategory of 'Male'?, True
Can something that hasParent some GrandMother be considered a subcategory of 'GrandMother'?, True
Can GrandMother be considered a subcategory of 'GrandMother'?, True
Can Thing be considered a subcategory of 'Thing that is also something that (hasParent some (GrandMother that is also Thing))'?, \nFalse
Can Thing be considered a subcategory of 'GrandMother'?, True
Can GrandMother that is also GrandParent be considered a subcategory of 'OffSpring'?, True
Can GrandMother that is also GrandParent be considered a subcategory of 'Son'?, True
Can GrandParent be considered a subcategory of 'Son'?, True
Can GrandParent be considered a subcategory of 'GrandMother'?, True
Can GrandParent be considered a subcategory of 'GrandMother that is also Son'?, True
Can GrandParent be considered a subcategory of 'Thing'?, True
Can GrandParent be considered a subcategory of 'GrandMother that is also Son that is also Thing'?, \nFalse
Can GrandParent be considered a subcategory of 'Female'?, True
Can GrandParent be considered a subcategory of 'Female that is also GrandMother that is also Son'?, \nFalse
Can GrandParent be considered a subcategory of 'Father'?, True
Can GrandParent be considered a subcategory of 'Father that is also GrandMother that is also Son'?, True
Can GrandParent be considered a subcategory of 'Child'?, True
Can GrandParent be considered a subcategory of 'Child that is also Father that is also GrandMother that is also Son'?, True
Can GrandParent be considered a subcategory of 'Person'?, True
Can GrandParent be considered a subcategory of 'Child that is also Father that is also GrandMother that is also Person that is also Son'?, True
Can GrandParent be considered a subcategory of 'Brother'?, True
Can GrandParent be considered a subcategory of 'Brother that is also Child that is also Father that is also GrandMother that is also Person that is also Son'?, \nFalse
Can GrandParent be considered a subcategory of 'Parent'?, True
Can GrandParent be considered a subcategory of 'Child that is also Father that is also GrandMother that is also Parent that is also Person that is also Son'?, \nFalse
Can GrandParent be considered a subcategory of 'Daughter'?, True
Can GrandParent be considered a subcategory of 'Child that is also Daughter that is also Father that is also GrandMother that is also Person that is also Son'?, True
Can GrandParent be considered a subcategory of 'Man'?, True
Can GrandParent be considered a subcategory of 'Child that is also Daughter that is also Father that is also GrandMother that is also Man that is also Person that is also Son'?, \nFalse
Can GrandParent be considered a subcategory of 'Mother'?, True
Can GrandParent be considered a subcategory of 'Child that is also Daughter that is also Father that is also GrandMother that is also Mother that is also Person that is also Son'?, \nFalse
Can GrandParent be considered a subcategory of 'Sex'?, True
Can GrandParent be considered a subcategory of 'Child that is also Daughter that is also Father that is also GrandMother that is also Person that is also Sex that is also Son'?, \nFalse
Can GrandParent be considered a subcategory of 'Sister'?, True
Can GrandParent be considered a subcategory of 'Child that is also Daughter that is also Father that is also GrandMother that is also Person that is also Sister that is also Son'?, \nFalse
Can GrandParent be considered a subcategory of 'OffSpring'?, True
Can GrandParent be considered a subcategory of 'Child that is also Daughter that is also Father that is also GrandMother that is also OffSpring that is also Person that is also Son'?, True
Can GrandParent be considered a subcategory of 'Woman'?, True
Can GrandParent be considered a subcategory of 'Child that is also Daughter that is also Father that is also GrandMother that is also OffSpring that is also Person that is also Son that is also Woman'?, True
Can GrandParent be considered a subcategory of 'Male'?, True
Can GrandParent be considered a subcategory of 'Child that is also Daughter that is also Father that is also GrandMother that is also Male that is also OffSpring that is also Person that is also Son that is also Woman'?, \nTrue
Can GrandParent be considered a subcategory of 'Sibling'?, True
Can GrandParent be considered a subcategory of 'Child that is also Daughter that is also Father that is also GrandMother that is also Male that is also OffSpring that is also Person that is also Sibling that is also Son that is also Woman'?, \nFalse
Can GrandParent be considered a subcategory of 'GrandFather'?, True
Can GrandParent be considered a subcategory of 'Child that is also Daughter that is also Father that is also GrandFather that is also GrandMother that is also Male that is also OffSpring that is also Person that is also Son that is also Woman'?, \nFalse
Can GrandParent be considered a subcategory of 'Child that is also Daughter that is also Father that is also GrandMother that is also Male that is also OffSpring that is also Person that is also Son that is also Woman that is also Thing'?, \nFalse
Can GrandParent be considered a subcategory of 'Child that is also Daughter that is also Father that is also Female that is also GrandMother that is also Male that is also OffSpring that is also Person that is also Son that is also Woman'?, \nFalse
Can GrandParent be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also GrandMother that is also Male that is also OffSpring that is also Person that is also Son that is also Woman'?, \nTrue
Can GrandParent be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also GrandMother that is also Male that is also OffSpring that is also Parent that is also Person that is also Son that is also Woman'?, \nFalse
Can GrandParent be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also GrandMother that is also Male that is also Man that is also OffSpring that is also Person that is also Son that is also Woman'?, \nTrue
Can GrandParent be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also GrandMother that is also Male that is also Man that is also Mother that is also OffSpring that is also Person that is also Son that is also Woman'?, \nFalse
Can GrandParent be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also GrandMother that is also Male that is also Man that is also OffSpring that is also Person that is also Sex that is also Son that is also Woman'?, \nTrue
Can GrandParent be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also GrandMother that is also Male that is also Man that is also OffSpring that is also Person that is also Sex that is also Sister that is also Son that is also Woman'?, \nFalse
Can GrandParent be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also GrandMother that is also Male that is also Man that is also OffSpring that is also Person that is also Sex that is also Sibling that is also Son that is also Woman'?, \nFalse
Can GrandParent be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also GrandFather that is also GrandMother that is also Male that is also Man that is also OffSpring that is also Person that is also Sex that is also Son that is also Woman'?, \nFalse
Can Son be considered a subcategory of 'something that hasSex some Parent'?, True
Can Son be considered a subcategory of 'Female'?, True
Can Son be considered a subcategory of 'GrandMother'?, True
Can Son be considered a subcategory of 'Female that is also GrandMother'?, \nFalse
Can Son be considered a subcategory of 'Thing'?, True
Can Son be considered a subcategory of 'Female that is also Thing'?, True
Can Son be considered a subcategory of 'Father'?, True
Can Son be considered a subcategory of 'Father that is also Female that is also Thing'?, True
Can Son be considered a subcategory of 'Child'?, True
Can Son be considered a subcategory of 'Child that is also Father that is also Female that is also Thing'?, \nTrue
Can Son be considered a subcategory of 'Person'?, True
Can Son be considered a subcategory of 'Child that is also Father that is also Female that is also Person that is also Thing'?, \nFalse
Can Son be considered a subcategory of 'Brother'?, True
Can Son be considered a subcategory of 'Brother that is also Child that is also Father that is also Female that is also Thing'?, True
Can Son be considered a subcategory of 'Parent'?, True
Can Son be considered a subcategory of 'Brother that is also Child that is also Father that is also Female that is also Parent that is also Thing'?, \nTrue
Can Son be considered a subcategory of 'Daughter'?, True
Can Son be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also Parent that is also Thing'?, \nFalse
Can Son be considered a subcategory of 'Man'?, True
Can Son be considered a subcategory of 'Brother that is also Child that is also Father that is also Female that is also Man that is also Parent that is also Thing'?, \nFalse
Can Son be considered a subcategory of 'Mother'?, True
Can Son be considered a subcategory of 'Brother that is also Child that is also Father that is also Female that is also Mother that is also Parent that is also Thing'?, \nFalse
Can Son be considered a subcategory of 'GrandParent'?, True
Can Son be considered a subcategory of 'Brother that is also Child that is also Father that is also Female that is also GrandParent that is also Parent that is also Thing'?, True
Can Son be considered a subcategory of 'Sex'?, True
Can Son be considered a subcategory of 'Brother that is also Child that is also Father that is also Female that is also GrandParent that is also Parent that is also Sex that is also Thing'?, \nFalse
Can Son be considered a subcategory of 'Sister'?, True
Can Son be considered a subcategory of 'Brother that is also Child that is also Father that is also Female that is also GrandParent that is also Parent that is also Sister that is also Thing'?, \nFalse
Can Son be considered a subcategory of 'OffSpring'?, True
Can Son be considered a subcategory of 'Brother that is also Child that is also Father that is also Female that is also GrandParent that is also OffSpring that is also Parent that is also Thing'?, \nFalse
Can Son be considered a subcategory of 'Woman'?, False
Can Son be considered a subcategory of 'Male'?, True
Can Son be considered a subcategory of 'Brother that is also Child that is also Father that is also Female that is also GrandParent that is also Male that is also Parent that is also Thing'?, \nTrue
Can Son be considered a subcategory of 'Sibling'?, True
Can Son be considered a subcategory of 'Brother that is also Child that is also Father that is also Female that is also GrandParent that is also Male that is also Parent that is also Sibling that is also Thing'?, \nFalse
Can Son be considered a subcategory of 'GrandFather'?, True
Can Son be considered a subcategory of 'Brother that is also Child that is also Father that is also Female that is also GrandFather that is also GrandParent that is also Male that is also Parent that is also Thing'?, \nFalse
Can Son be considered a subcategory of 'Brother that is also Child that is also Father that is also Female that is also GrandMother that is also GrandParent that is also Male that is also Parent that is also Thing'?, \nFalse
Can Son be considered a subcategory of 'Brother that is also Child that is also Father that is also Female that is also GrandParent that is also Male that is also Parent that is also Person that is also Thing'?, True
Can Son be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandParent that is also Male that is also Parent that is also Person that is also Thing'?, \nTrue
Can Son be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandParent that is also Male that is also Man that is also Parent that is also Person that is also Thing'?, \nTrue
Can Son be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandParent that is also Male that is also Man that is also Mother that is also Parent that is also Person that is also Thing'?, \nTrue
Can Son be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandParent that is also Male that is also Man that is also Mother that is also Parent that is also Person that is also Sex that is also Thing'?, \nFalse
Can Son be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandParent that is also Male that is also Man that is also Mother that is also Parent that is also Person that is also Sister that is also Thing'?, \nFalse
Can Son be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandParent that is also Male that is also Man that is also Mother that is also OffSpring that is also Parent that is also Person that is also Thing'?, \nTrue
Can Son be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandParent that is also Male that is also Man that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sibling that is also Thing'?, \nTrue
Can Son be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandParent that is also Male that is also Man that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sibling that is also Thing'?, \nFalse
Can Parent be considered a subcategory of 'something that hasChild some Male'?, True
Can Parent be considered a subcategory of 'Son'?, True
Can Parent be considered a subcategory of 'GrandMother'?, True
Can Parent be considered a subcategory of 'GrandMother that is also Son'?, True
Can Parent be considered a subcategory of 'Thing'?, True
Can Parent be considered a subcategory of 'GrandMother that is also Son that is also Thing'?, True
Can Parent be considered a subcategory of 'Female'?, True
Can Parent be considered a subcategory of 'Female that is also GrandMother that is also Son that is also Thing'?, True
Can Parent be considered a subcategory of 'Father'?, True
Can Parent be considered a subcategory of 'Father that is also Female that is also GrandMother that is also Son that is also Thing'?, True
Can Parent be considered a subcategory of 'Child'?, True
Can Parent be considered a subcategory of 'Child that is also Father that is also Female that is also GrandMother that is also Son that is also Thing'?, \nFalse
Can Parent be considered a subcategory of 'Person'?, True
Can Parent be considered a subcategory of 'Father that is also Female that is also GrandMother that is also Person that is also Son that is also Thing'?, True
Can Parent be considered a subcategory of 'Brother'?, True
Can Parent be considered a subcategory of 'Brother that is also Father that is also Female that is also GrandMother that is also Person that is also Son that is also Thing'?, True
Can Parent be considered a subcategory of 'Daughter'?, True
Can Parent be considered a subcategory of 'Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Person that is also Son that is also Thing'?, True
Can Parent be considered a subcategory of 'Man'?, True
Can Parent be considered a subcategory of 'Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Man that is also Person that is also Son that is also Thing'?, \nFalse
Can Parent be considered a subcategory of 'Mother'?, True
Can Parent be considered a subcategory of 'Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Mother that is also Person that is also Son that is also Thing'?, \nFalse
Can Parent be considered a subcategory of 'GrandParent'?, True
Can Parent be considered a subcategory of 'Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also GrandParent that is also Person that is also Son that is also Thing'?, \nFalse
Can Parent be considered a subcategory of 'Sex'?, True
Can Parent be considered a subcategory of 'Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Person that is also Sex that is also Son that is also Thing'?, \nFalse
Can Parent be considered a subcategory of 'Sister'?, True
Can Parent be considered a subcategory of 'Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Person that is also Sister that is also Son that is also Thing'?, \nFalse
Can Parent be considered a subcategory of 'OffSpring'?, True
Can Parent be considered a subcategory of 'Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also OffSpring that is also Person that is also Son that is also Thing'?, \nFalse
Can Parent be considered a subcategory of 'Woman'?, True
Can Parent be considered a subcategory of 'Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Person that is also Son that is also Woman that is also Thing'?, True
Can Parent be considered a subcategory of 'Male'?, True
Can Parent be considered a subcategory of 'Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Male that is also Person that is also Son that is also Woman that is also Thing'?, \nFalse
Can Parent be considered a subcategory of 'Sibling'?, True
Can Parent be considered a subcategory of 'Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Person that is also Sibling that is also Son that is also Woman that is also Thing'?, True
Can Parent be considered a subcategory of 'GrandFather'?, True
Can Parent be considered a subcategory of 'Brother that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also Person that is also Sibling that is also Son that is also Woman that is also Thing'?, \nFalse
